RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,vote_choice_undecided,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region
4,2,1,True,1.0,,False,True,False,3.0,2,,3,8,80,,False,2,2,37,0.649034757460002,2.0,2.0,2.0,3.0,2,False,2,3
5,2,2,True,1.0,,False,False,True,3.0,2,,1,7,61,,False,1,1,36,0.58587780566,2.0,2.0,2.0,3.0,1,True,2,1
17,2,2,True,1.0,,False,True,True,1.0,2,,1,6,53,,False,2,2,13,0.943746318959999,2.0,2.0,2.0,2.0,2,False,2,3
19,2,1,False,,,False,False,False,,2,,1,3,62,,False,9,1,12,1.4238963358,,,2.0,3.0,9,True,1,3
20,2,2,False,,,False,False,False,,1,,2,4,37,,False,1,1,15,1.11172274622,,,1.0,2.0,1,True,2,4
21,2,1,True,1.0,,False,False,False,3.0,2,,1,3,54,,False,1,2,42,1.35575914042,2.0,2.0,2.0,2.0,1,False,1,1
22,2,1,True,2.0,,False,False,True,2.0,1,,2,7,45,,False,1,1,9,0.52431693012,2.0,2.0,1.0,2.0,1,True,2,1
32,2,2,True,1.0,,False,False,True,1.0,3,2.0,3,5,61,,False,1,1,37,0.83531035985,2.0,2.0,3.0,3.0,1,True,2,3
39,2,2,True,1.0,,True,False,True,1.0,1,,2,7,67,,False,1,1,23,0.56376920922,1.0,1.0,1.0,3.0,1,True,2,1
44,2,2,False,,,False,False,False,,1,,2,7,50,,False,1,2,37,0.55696094076,,,1.0,2.0,1,False,2,3
48,2,3,True,1.0,,True,False,True,3.0,1,,2,3,31,,False,1,1,4,1.34706982992,1.0,1.0,1.0,1.0,1,True,1,4
49,2,1,True,1.0,,False,False,False,3.0,2,,2,8,47,,False,1,2,9,0.606233761579999,2.0,2.0,2.0,2.0,1,False,2,1
55,2,3,True,2.0,,False,False,False,2.0,3,2.0,4,9,99,1.0,False,3,1,37,1.77608392945,2.0,2.0,3.0,3.0,3,True,3,3
56,2,2,False,,,False,False,False,,4,2.0,3,3,37,,True,1,1,13,1.4118222536,,,2.0,2.0,4,True,1,3
57,2,2,True,1.0,,True,False,False,9.0,1,,2,7,99,3.0,False,1,1,13,0.53825945394,1.0,1.0,1.0,3.0,1,True,2,3
58,2,3,False,,,False,False,False,,2,,3,6,63,,False,2,1,12,0.971986377859998,,,2.0,3.0,2,True,2,3
59,2,2,True,2.0,,False,False,False,3.0,4,2.0,3,7,61,,False,1,2,24,0.584205082100002,2.0,2.0,2.0,3.0,1,False,2,3
63,2,2,True,1.0,,False,False,True,1.0,3,1.0,3,8,70,,False,1,2,33,0.584205082100002,2.0,2.0,3.0,3.0,1,False,2,1
68,2,1,True,2.0,,False,False,False,1.0,3,2.0,3,3,37,,False,1,1,12,1.0426776167,2.0,2.0,3.0,2.0,1,True,1,3
72,2,2,False,,,False,False,False,,3,1.0,3,8,57,,False,1,1,36,0.52507916545,,,3.0,3.0,1,True,2,1
74,2,2,True,1.0,,False,False,True,3.0,1,,2,5,72,,False,1,1,36,0.939364449780002,1.0,1.0,1.0,3.0,1,True,2,1
80,2,3,False,,,False,False,False,,1,,2,3,25,,False,1,1,25,1.16405963472,,,1.0,1.0,1,True,1,1
81,2,2,True,1.0,,False,False,False,1.0,3,3.0,1,7,99,3.0,False,1,1,12,0.50132007965,2.0,2.0,3.0,3.0,1,True,2,3
82,2,2,True,1.0,,False,True,True,1.0,2,,1,8,41,,False,5,2,37,1.31190761988,2.0,2.0,2.0,2.0,9,False,2,3
93,2,2,True,1.0,,True,False,True,1.0,1,,3,1,89,,False,1,1,13,1.23952190814,1.0,1.0,1.0,3.0,1,True,1,3
95,2,1,True,3.0,1.0,False,False,False,2.0,3,3.0,3,5,50,,False,1,1,51,0.728957846550001,6.0,1.0,3.0,2.0,1,True,2,3
105,2,2,False,,,False,False,False,,1,,3,7,38,,False,1,2,13,0.55696094076,,,1.0,2.0,1,False,2,3
108,2,2,True,1.0,,False,False,False,2.0,2,,3,5,65,,False,1,2,42,1.08612637014,2.0,2.0,2.0,3.0,1,False,2,1
110,2,2,True,2.0,,False,False,False,3.0,4,1.0,4,3,42,,False,1,2,36,1.21506715415,1.0,1.0,1.0,2.0,1,False,1,1
111,2,1,False,,,False,False,False,,2,,1,6,27,,True,4,2,36,2.38426684252001,,,2.0,1.0,4,False,2,1
114,2,2,True,1.0,,False,True,True,1.0,3,2.0,2,8,68,,False,1,1,42,0.52507916545,2.0,2.0,3.0,3.0,1,True,2,1
119,2,2,True,2.0,,False,False,True,3.0,4,1.0,3,3,19,,False,2,1,12,1.07949100495,2.0,2.0,1.0,1.0,2,True,1,3
129,2,2,True,1.0,,False,True,False,3.0,2,,1,8,68,,False,1,1,54,0.55936766782,2.0,2.0,2.0,3.0,1,True,2,3
