State,state_votes,biden,trump,harris,pence
alabama,9,0,9,0,9
alaska,3,0,3,0,3
arizona,11,11,0,11,0
arkansas,6,0,6,0,6
california,55,55,0,55,0
colorado,9,9,0,9,0
connecticut,7,7,0,7,0
delaware,3,3,0,3,0
district of columbia,3,3,0,3,0
florida,29,0,29,0,29
georgia,16,16,0,16,0
hawaii,4,4,0,4,0
idaho,4,0,4,0,4
illinois,20,20,0,20,0
indiana,11,0,11,0,11
iowa,6,0,6,0,6
kansas,6,0,6,0,6
kentucky,8,0,8,0,8
louisiana,8,0,8,0,8
maine,4,3,1,3,1
maryland,10,10,0,10,0
massachusetts,11,11,0,11,0
michigan,16,16,0,16,0
minnesota,10,10,0,10,0
mississippi,6,0,6,0,6
missouri,10,0,10,0,10
montana,3,0,3,0,3
nebraska,5,1,4,1,4
nevada,6,6,0,6,0
new hampshire,4,4,0,4,0
new jersey,14,14,0,14,0
new mexico,5,5,0,5,0
new york,29,29,0,29,0
north carolina,15,0,15,0,15
north dakota,3,0,3,0,3
ohio,18,0,18,0,18
oklahoma,7,0,7,0,7
oregon,7,7,0,7,0
pennsylvania,20,20,0,20,0
rhode island,4,4,0,4,0
south carolina,9,0,9,0,9
south dakota,3,0,3,0,3
tennessee,11,0,11,0,11
texas,38,0,38,0,38
utah,6,0,6,0,6
vermont,3,3,0,3,0
virginia,13,13,0,13,0
washington,12,12,0,12,0
west virginia,5,0,5,0,5
wisconsin,10,10,0,10,0
wyoming,3,0,3,0,3
total,538,306,232,306,232
notes,"*Maine appoints its electors proportionally. Biden-Harris won in the First Congressional District and took the state; Trump-Pence won the Second Congressional District. Maine's electoral votes were proportionally awarded accordingly: for President, Biden 3 and Trump 1; for Vice President, Harris 3 and Pence 1.  **Nebraska appoints its electors proportionally. Trump-Pence won in the First and Third Congressional Districts and took the state; Biden-Harris won the Second Congressional District. Nebraska's electoral votes were proportionally awarded accordingly: for President, Trump 4 and Biden 1; for Vice President, Pence 4 and Harris 1.","*Maine appoints its electors proportionally. Biden-Harris won in the First Congressional District and took the state; Trump-Pence won the Second Congressional District. Maine's electoral votes were proportionally awarded accordingly: for President, Biden 3 and Trump 1; for Vice President, Harris 3 and Pence 1.  **Nebraska appoints its electors proportionally. Trump-Pence won in the First and Third Congressional Districts and took the state; Biden-Harris won the Second Congressional District. Nebraska's electoral votes were proportionally awarded accordingly: for President, Trump 4 and Biden 1; for Vice President, Pence 4 and Harris 1.","*Maine appoints its electors proportionally. Biden-Harris won in the First Congressional District and took the state; Trump-Pence won the Second Congressional District. Maine's electoral votes were proportionally awarded accordingly: for President, Biden 3 and Trump 1; for Vice President, Harris 3 and Pence 1.  **Nebraska appoints its electors proportionally. Trump-Pence won in the First and Third Congressional Districts and took the state; Biden-Harris won the Second Congressional District. Nebraska's electoral votes were proportionally awarded accordingly: for President, Trump 4 and Biden 1; for Vice President, Pence 4 and Harris 1.","*Maine appoints its electors proportionally. Biden-Harris won in the First Congressional District and took the state; Trump-Pence won the Second Congressional District. Maine's electoral votes were proportionally awarded accordingly: for President, Biden 3 and Trump 1; for Vice President, Harris 3 and Pence 1.  **Nebraska appoints its electors proportionally. Trump-Pence won in the First and Third Congressional Districts and took the state; Biden-Harris won the Second Congressional District. Nebraska's electoral votes were proportionally awarded accordingly: for President, Trump 4 and Biden 1; for Vice President, Pence 4 and Harris 1.","*Maine appoints its electors proportionally. Biden-Harris won in the First Congressional District and took the state; Trump-Pence won the Second Congressional District. Maine's electoral votes were proportionally awarded accordingly: for President, Biden 3 and Trump 1; for Vice President, Harris 3 and Pence 1.  **Nebraska appoints its electors proportionally. Trump-Pence won in the First and Third Congressional Districts and took the state; Biden-Harris won the Second Congressional District. Nebraska's electoral votes were proportionally awarded accordingly: for President, Trump 4 and Biden 1; for Vice President, Pence 4 and Harris 1."
