,NAME,Estimate!!Total:,state
1,Alabama,5028092,01
2,Alaska,734821,02
3,Arizona,7172282,04
4,Arkansas,3018669,05
5,California,39356104,06
6,Colorado,5770790,08
7,Connecticut,3611317,09
8,Delaware,993635,10
9,District of Columbia,670587,11
10,Florida,21634529,12
11,Georgia,10722325,13
12,Hawaii,1450589,15
13,Idaho,1854109,16
14,Illinois,12757634,17
15,Indiana,6784403,18
16,Iowa,3188836,19
17,Kansas,2935922,20
18,Kentucky,4502935,21
19,Louisiana,4640546,22
20,Maine,1366949,23
21,Maryland,6161707,24
22,Massachusetts,6984205,25
23,Michigan,10057921,26
24,Minnesota,5695292,27
25,Mississippi,2958846,28
26,Missouri,6154422,29
27,Montana,1091840,30
28,Nebraska,1958939,31
29,Nevada,3104817,32
30,New Hampshire,1379610,33
31,New Jersey,9249063,34
32,New Mexico,2112463,35
33,New York,19994379,36
34,North Carolina,10470214,37
35,North Dakota,776874,38
36,Ohio,11774683,39
37,Oklahoma,3970497,40
38,Oregon,4229374,41
39,Pennsylvania,12989208,42
40,Rhode Island,1094250,44
41,South Carolina,5142750,45
42,South Dakota,890342,46
43,Tennessee,6923772,47
44,Texas,29243342,48
45,Utah,3283809,49
46,Vermont,643816,50
47,Virginia,8624511,51
48,Washington,7688549,53
49,West Virginia,1792967,54
50,Wisconsin,5882128,55
51,Wyoming,577929,56
52,Puerto Rico,3272382,72
