U.S. presidential election results,,,,,
year,candidate,political party,electoral votes1,popular votes2,popular percentage3
"1In elections from 1789 to 1804, each elector voted for two individuals without indicating which was to be president and which was to be vice president.",,,,,
"2In early elections, electors were chosen by legislatures, not by popular vote, in many states.",,,,,
3Candidates winning no electoral votes and less than 2 percent of the popular vote are excluded; percentages may not add up to 100 percent because of rounding.,,,,,
4Washington was unopposed for president in 1789 and 1792.,,,,,
"5Because the two houses of the New York legislature could not agree on electors, the state did not cast its electoral votes. North Carolina and Rhode Island had not yet ratified the Constitution.",,,,,
"6As both Jefferson and Burr received the same number of electoral votes, the decision was referred to the House of Representatives. The Twelfth Amendment (1804) provided that electors cast separate ballots for president and vice president.",,,,,
"7As no candidate received a majority of the electoral votes, the decision was made by the House of Representatives.",,,,,
"8Greeley died shortly after the election in November. Three electors pledged to Greeley cast their votes for him, but they were not counted; the others cast their votes for the other candidates listed.",,,,,
9Includes a variety of joint tickets with People's Party electors committed to Bryan.,,,,,
"10One Gore elector from Washington, D.C., abstained from casting an electoral vote.",,,,,
"Sources: Electoral and popular vote totals based on data from the Office of the Clerk of the U.S. House of Representatives; the United States Office of the Federal Register; the Federal Election Commission; Congressional Quarterly's Guide to U.S. Elections, 4th ed. (2001); and the official certified state vote totals.",,,,,
,,,,,
U.S. presidential election results,,,,,
year,candidate,political party,electoral votes1,popular votes2,popular percentage3
1789,George Washington 4,no formally organized parties,695,,
,,,,,
,John Adams,,34,,
,John Jay,,9,,
,R.H. Harrison,,6,,
,John Rutledge,,6,,
,John Hancock,,4,,
,George Clinton,,3,,
,Samuel Huntington,,2,,
,John Milton,,2,,
,James Armstrong,,1,,
,Benjamin Lincoln,,1,,
,Edward Telfair,,1,,
,not voted,,44,,
1792,George Washington 4,Federalist,132,,
,,,,,
,John Adams,Federalist,77,,
,George Clinton,Democratic-Republican,50,,
,Thomas Jefferson,,4,,
,Aaron Burr,,1,,
1796,John Adams,Federalist,71,,
,,,,,
,Thomas Jefferson,Democratic-Republican,68,,
,Thomas Pinckney,Federalist,59,,
,Aaron Burr,Antifederalist,30,,
,Samuel Adams,Democratic-Republican,15,,
,Oliver Ellsworth,Federalist,11,,
,George Clinton,Democratic-Republican,7,,
,John Jay,Independent-Federalist,5,,
,James Iredell,Federalist,3,,
,George Washington,Federalist,2,,
,John Henry,Independent,2,,
,S. Johnston,Independent-Federalist,2,,
,Charles Cotesworth Pinckney,Independent-Federalist,1,,
1800,Thomas Jefferson,Democratic-Republican,736,,
,,,,,
,Aaron Burr,Democratic-Republican,736,,
,John Adams,Federalist,65,,
,Charles Cotesworth Pinckney,Federalist,64,,
,John Jay,Federalist,1,,
1804,Thomas Jefferson,Democratic-Republican,162,,
,,,,,
,Charles Cotesworth Pinckney,Federalist,14,,
1808,James Madison,Democratic-Republican,122,,
,,,,,
,Charles Cotesworth Pinckney,Federalist,47,,
,George Clinton,Independent-Republican,6,,
,not voted,,1,,
1812,James Madison,Democratic-Republican,128,,
,,,,,
,DeWitt Clinton,Fusion,89,,
,not voted,,1,,
1816,James Monroe,Democratic-Republican,183,,
,,,,,
,Rufus King,Federalist,34,,
,not voted,,4,,
1820,James Monroe,Democratic-Republican,231,,
,,,,,
,John Quincy Adams,Independent-Republican,1,,
,not voted,,3,,
1824,John Quincy Adams,no distinct party designations,847,"108,740",30.9
,,,,,
,Andrew Jackson,,99,"153,544",41.3
,Henry Clay,,37,"47,531",13
,William H. Crawford,,41,"40,856",11.2
1828,Andrew Jackson,Democratic,178,"647,286",56
,,,,,
,John Quincy Adams,National Republican,83,"508,064",43.6
1832,Andrew Jackson,Democratic,219,"687,502",54.2
,,,,,
,Henry Clay,National Republican,49,"530,189",37.4
,William Wirt,Anti-Masonic,7,"100,715",7.8
,John Floyd,Nullifiers,11,,
,not voted,,2,,
1836,Martin Van Buren,Democratic,170,"762,678",50.8
,,,,,
,William Henry Harrison,Whig,73,"550,816",36.6
,Hugh L. White,Whig,26,"146,107",9.7
,Daniel Webster,Whig,14,"41,201",2.7
,W.P. Mangum,Anti-Jackson,11,,
