RESPID	PHTYPE	S1	S2	S3	S4	S5	S6	S7	S8	QX1	QX1A	QX2	QX3	QX3A	QX4	Q1	Q1A	Q1X	Q1Y	Q1Z	Q2	Q3	Q4A	Q4B	Q5	Q6	Q7	Q8	QD1	QD1A	QD2	QD3	QD4	QD4A	QD5	QD6	QD7	QD8	FINWGT
3	2	1	1	1	1	1	1	65	8	1		0	2					1			8	2	1	1	3	2	4	2	2		3	6	64		2	1	1	1	0.722140744
4	2	2	2	2	1	1	2	163	14	1		1	9	9									9	9	4	5	9	9	9	9	9	3	48		2	2	9	1	1.19851049
6	2	1	1	1	1	1	1	125	9	1		0	1										2	2	4	2	1	1	1		5	3	84		2	1	2	2	0.586743248
7	2	1	1	2	1	1	1	17	5	1		4			1								2	2	4	2	2	1	3	1	3	5	69		2	1	3	1	0.526607823
9	2	1	1	1	1	1	1	121	2	1		1	1										2	2	4	1	2	1	1		5	7	68		2	1	2	1	0.406284274
12	2	1	2	2	1	2	2	55	1	1		1	1										2	2	4	1	2	1	1		4	3	62		2	1	4	1	1.110999266
14	2	2	2	2	2	2	3	99	9	1		1	2			2					1	3	1	4	1	3	3	4	4	2	2	4	23		2	2	2	1	1.848173152
15	2	1	2	2	1	1	2	163	12	1		1	2			2					1	2	1	1	4	1	4	2	2		3	5	55		2	2	4	2	0.984843355
21	2	1	1	1	1	1	3	35	4	1		1	1										2	2	4	2	2	1	1		5	7	70		2	1	2	1	0.578626727
22	2	1	2	1	1	1	3	81	3	1		1	2			2					1	3	1	1	4	1	4	2	2		2	5	52		2	1	1	2	1.533861671
25	2	2	2	2	2	1	1	147	10	1		1	1										2	2	4	1	1	1	1		9	9	99	9	9	9	9	1	0.926023009
26	2	2	2	2	1	1	3	65	8	1		4			2								2	2	2	2	1	1	3	1	3	7	46		2	1	4	2	1.696060245
27	2	1	2	1	1	1	2	161	12	1		1	2			1					2	1	1	1	4	4	3	2	2		3	8	74		2	1	4	2	0.493419799
28	2	2	2	1	1	1	2	65	8	1		1	2			9	2				2	1	1	1	4	4	9	2	4	3	4	6	65		9	9	3	1	0.843680762
29	2	1	2	2	1	1	1	103	1	1		4			1								2	2	4	1	2	1	1		4	7	68		2	1	3	1	0.406284274
30	2	1	1	1	1	1	2	161	12	1		1	2			9	9				1	2	1	1	3	2	9	2	2		2	8	99	4	2	1	9	2	0.493419799
32	2	1	1	1	1	1	1	99	9	1		0	2					1			8	1	1	1	4	1	3	2	2		3	7	64		2	1	9	1	0.71974975
33	2	2	2	1	1	1	2	163	13	1		1	2			1					1	1	3	1	4	1	3	2	2		3	6	63		2	1	2	1	1.016868006
35	2	1	1	1	1	1	3	125	14	1		0	1										2	2	4	2	2	1	1		9	3	73		2	1	8	2	0.984903848
39	2	1	1	1	1	1	1	163	12	1		1	1										2	2	4	1	2	1	1		4	7	41		2	1	4	1	1.031558582
40	2	1	1	1	1	1	2	125	14	1		0	2					1			8	1	1	1	4	9	3	2	2		2	5	89		2	1	9	2	0.753791303
41	2	2	1	1	1	1	2	163	11	1		0	9										1	1	4	1	4	2	3	3	9	5	76		2	1	9	1	0.660345603
42	2	1	1	1	1	1	1	63	10	1		1	1										2	2	4	4	1	1	3	1	3	3	78		2	1	2	1	0.526607823
43	2	1	2	1	1	1	3	139	2	1		1	1										2	2	4	1	1	1	1		5	3	66		2	1	3	2	0.726370771
44	2	2	2	1	1	2	2	55	1	1		2	9	1									2	2	1	4	1	3	1		4	3	34		2	1	3	2	0.635244667
46	2	1	2	2	1	1	2	81	3	1		1	2			2					1	1	1	1	4	4	9	2	3	2	2	5	34		2	1	3	1	1.737213843
47	2	1	1	1	1	1	2	91	7	1		1	1										2	2	4	1	1	1	3	3	5	3	59		2	1	3	2	1.173933466
51	2	1	1	1	1	1	2	41	1	1		1	2			1					1	1	1	1	4	1	3	2	2		3	3	63		2	1	3	2	0.856069335
53	2	1	2	1	1	1	1	161	12	1		1	2			2					1	2	1	3	4	1	4	3	1		3	3	56		2	1	4	1	0.932908
54	2	1	1	1	1	1	3	17	5	1		1	2			1					2	1	1	1	4	9	4	2	2		3	3	77		2	1	2	1	0.749990538
57	2	1	2	2	1	1	1	17	5	1		3			2								9	9	3	2	2	9	4	3	3	7	69		2	1	3	1	0.406284274
59	2	1	1	1	1	1	1	125	11	1		0	2					1			8	2	1	1	4	2	3	2	3	2	3	8	63		9	9	9	2	0.771457586
64	2	1	1	2	1	1	2	49	5	1		1	2			1					1	1	1	1	4	2	3	2	2		1	8	71		2	1	3	2	0.428902279
68	2	1	1	1	1	1	1	139	2	1		2	9	9									2	2	4	4	9	9	3	1	3	9	99	9	9	1	9	1	0.478432946
69	2	1	2	2	1	1	1	75	7	1		2	1										2	2	4	2	1	1	1		5	3	66		2	1	2	1	1.593776854
70	2	1	2	1	1	1	1	101	1	1		4			1								2	2	4	1	2	1	1		4	8	47		2	1	3	1	0.896676274
71	2	1	1	1	1	1	1	125	8	1		0	2					1			8	1	1	1	4	2	3	2	2		3	6	76		2	1	3	1	0.722140744
73	1	1	2	2	1	1	1	125	11	1		1	1										2	2	4	1	1	1	4	1	5	7	52		2	1	3	1	1.031558582
76	2	2	2	2	2	1	3	125	14	1		1	1										2	2	2	9	1	1	3	1	1	6	66		2	1	1	1	1.286796499
77	2	2	2	1	1	1	2	99	9	1		0	9										9	9	4	2	9	2	9	2	4	7	63		2	1	2	2	0.759818502
78	2	1	2	2	1	1	1	95	1	1		2	1										2	2	4	2	2	1	3	1	3	4	61		2	1	1	2	0.785386035
81	2	1	1	1	1	1	2	125	14	1		1	2			2					1	1	1	1	4	2	4	2	2		2	5	62		2	1	9	2	1.160765296
84	2	1	1	1	1	1	1	99	10	1		0	1										2	2	4	1	2	1	3	1	4	8	60		2	1	4	2	0.605934779
86	2	1	1	2	1	2	2	39	1	1		1	2			9	99				10	2	9	9	4	1	2	3	2		2	8	59		2	1	3	2	0.660467796
88	2	1	1	2	1	1	2	147	10	1		1	9	9									9	9	4	5	2	9	3	2	5	8	56		2	2	3	2	0.660467796
89	2	2	2	2	1	1	1	139	2	1		1	9	9									9	9	1	1	3	9	3	2	3	8	57		2	1	4	1	0.625638267
91	2	2	2	1	1	1	1	147	10	1		0	1										2	2	4	3	1	1	1		3	3	61		2	1	3	2	0.785386035
92	2	1	1	1	1	1	1	163	11	1		0	1										2	2	4	2	2	1	1		4	6	60		2	1	4	2	0.903527536
94	2	2	2	2	1	1	3	161	12	1		1	2			2					3	1	1	1	4	2	3	2	3	2	1	5	48		2	1	1	2	2.041033813
96	2	1	2	1	1	1	1	77	6	1		1	2			1					1	1	1	1	4	4	2	2	2		3	5	54		2	1	2	1	1.112026513
97	2	2	2	2	1	1	1	43	1	1		2	9	1									1	1	4	4	3	2	1		4	3	61		2	1	3	2	0.785386035
98	2	1	1	1	1	1	1	45	7	1		4			1								2	2	4	2	2	1	4	1	3	3	63		2	1	2	1	1.112026513
99	2	1	2	2	1	1	1	25	3	1		1	2			2					1	3	1	1	4	1	9	2	2		3	7	43		2	1	2	2	1.190893149
101	2	1	1	1	1	1	3	163	13	1		0	9										2	2	4	2	1	1	3	3	5	4	63		2	1	4	1	1.328639914
102	2	2	2	2	1	1	1	99	10	1		0	1										2	2	4	2	1	1	1		5	8	70		2	1	3	1	0.625638267
103	2	2	2	1	2	1	3	77	6	1		4			1								2	2	4	1	1	1	3	1	4	7	60		2	1	8	2	1.183392741
107	2	1	2	1	1	1	1	99	10	1		1	9	1									2	1	4	2	2	1	1		4	8	47		2	1	4	2	0.868436871
108	2	1	1	1	1	1	1	161	12	1		1	1										2	1	4	2	2	1	1		3	8	58		2	1	4	1	0.71974975
114	2	1	2	2	1	1	1	125	8	1		0	9										2	2	4	1	1	2	1		3	8	70		2	1	9	1	1.229618026
117	2	1	2	1	1	1	1	125	11	1		1	1										2	2	4	2	2	1	1		5	7	47		2	1	4	1	1.031558582
118	2	1	2	1	1	1	1	161	12	1		2	1										2	2	4	1	2	1	4	1	5	8	45		2	9	9	1	1.031558582
119	2	2	2	2	1	1	2	41	1	3	9				2								2	2	4	1	2	1	1		5	8	86		2	1	4	1	0.977375491
120	2	2	2	2	2	1	3	115	7	1		1	2			1					1	1	1	1	4	3	9	4	3	2	3	3	33		2	1	2	2	1.927940391
121	2	1	2	2	1	1	2	99	9	1		1	2			2					1	2	1	1	4	2	3	2	2		3	7	24		2	1	2	1	0.986085779
122	2	2	2	2	1	2	1	99	9	1		2	2			1					1	1	1	1	4	1	4	4	2		2	3	45		2	1	3	1	1.337060906
125	2	1	1	1	1	1	1	75	7	1		1	1										2	2	4	1	1	1	1		5	7	73		2	1	3	1	1.078363685
126	1	1	2	1	1	1	1	89	1	1		0	2					1			8	1	1	1	4	1	2	2	2		3	4	81		2	9	2	1	0.526607823
130	2	2	2	1	1	1	3	93	8	1		1	2			2					1	1	1	1	4	1	2	3	3	2	3	3	26		1	1	2	1	2.203022747
132	2	2	1	2	1	2	3	151	10	1		2	9	9									9	9	9	9	9	9	9	2	9	5	84		2	1	1	2	1.405914983
133	2	2	2	2	1	1	2	125	9	1		0	2					1			8	1	1	1	4	2	3	2	4	2	3	4	56		2	1	3	1	1.278121057
134	2	2	2	2	2	1	3	99	10	1		4			4								1	1	2	4	4	3	4	3	5	3	29		2	1	1	2	1.405914983
137	2	1	2	1	1	1	1	61	1	1		1	2			2					3	1	1	1	4	2	3	2	3	2	2	7	37		2	1	3	1	0.896676274
142	2	2	2	2	2	2	3	81	3	1		4			2								9	9	3	9	2	4	3	9	3	5	18		2	1	8	2	2.133642027
143	2	2	2	1	1	1	2	161	12	1		1	2			2					3	1	1	1	4	1	3	2	2		2	8	22		2	3	4	1	1.09129622
147	2	1	2	2	1	1	1	149	6	1		3			1								1	1	4	1	3	2	2		2	6	27		2	1	2	1	1.397727624
153	2	2	2	1	1	1	1	163	14	1		1	2			1					1	2	1	1	4	2	9	2	2		3	8	37		2	1	4	1	1.031558582
156	2	2	2	1	1	1	1	99	9	1		0	2					2			8	1	1	1	4	3	3	2	2		2	7	23		2	1	2	1	0.904667377
162	2	1	1	1	1	1	1	117	4	1		1	2			2					1	2	1	1	4	3	2	4	2		2	3	40		2	1	3	2	1.125629713
163	2	2	2	2	1	1	2	125	8	1		1	2			1					1	1	1	1	4	2	3	2	2		3	7	45		2	1	4	1	1.340281389
165	2	2	2	2	1	1	2	49	5	1		1	2			99	99				10	1	1	1	4	2	4	2	2		4	8	51		2	2	3	2	0.778446737
167	2	1	1	1	1	1	1	117	4	1		1	1										2	2	4	1	2	1	3	1	5	7	81		2	1	2	1	0.406284274
168	2	1	1	1	1	1	1	93	8	1		3			1								2	2	4	2	2	3	3	1	3	7	58		2	1	3	1	0.857941839
169	2	1	1	1	1	1	3	121	2	1		0	2					1			8	1	1	1	4	1	4	2	2		3	3	76		2	1	2	2	0.726370771
173	2	2	1	1	1	1	1	163	11	1		0	2					1			8	1	1	1	4	2	3	2	2		4	6	60		2	1	3	2	0.586743248
174	2	2	1	1	1	1	1	81	2	1		0	2					2			8	1	1	1	4	1	3	2	1		3	7	78		2	1	3	1	0.406284274
175	2	1	1	1	1	1	3	121	2	1		2	2			1					1	1	1	1	4	2	4	2	3	2	3	6	57		2	1	3	2	1.118540343
178	2	1	1	1	1	1	2	163	13	1		9			1								9	1	4	3	9	2	2		4	2	92		2	2	9	2	0.753791303
