RESPID,PHTYPE,top_household_concern,registered_vote,likely_to_vote,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity
2,2,20.0,True,2.0,False,False,False,3.0,3,2.0,1,8,32,,False,1,1,1,0.472227813,0,3.0,1,1,True,3,3,0.4589593559582667
6,1,1.0,True,1.0,False,True,True,3.0,3,2.0,1,5,80,,False,9,1,36,1.056400742,0,3.0,3,9,True,3,1,0.55438178108617
11,2,13.0,True,1.0,False,True,False,1.0,2,,1,7,63,,False,1,1,9,0.520190971675,0,2.0,3,1,True,3,1,0.4940945771976026
12,2,20.0,True,1.0,False,False,True,2.0,3,2.0,1,7,47,,False,1,1,25,0.48258571,0,3.0,2,1,True,3,1,0.5017550319222035
13,2,1.0,True,1.0,True,False,True,1.0,1,,4,6,67,,False,1,1,37,0.746675369160003,1,1.0,3,1,True,3,3,0.4940945771976026
14,2,20.0,True,1.0,True,False,True,3.0,1,,3,5,43,,False,1,2,28,0.879224580219998,1,1.0,2,1,False,3,3,0.4092546370180767
22,2,20.0,True,1.0,False,False,True,1.0,2,,3,5,58,,False,5,2,17,2.6736756328,0,2.0,3,9,False,3,2,0.4791533282102547
23,1,20.0,True,1.0,False,True,True,3.0,3,2.0,3,4,73,,False,1,1,36,1.239014091,0,3.0,3,1,True,3,1,0.4940945771976026
25,2,10.0,True,1.0,True,False,True,3.0,1,,3,7,41,,False,1,2,13,0.45759572474,1,1.0,2,1,False,3,3,0.4092546370180767
26,1,13.0,True,1.0,False,False,False,3.0,2,,1,6,20,,False,1,2,36,1.75138062562501,0,2.0,1,1,False,3,1,0.3689259300784175
27,2,13.0,True,1.0,False,False,False,3.0,3,2.0,1,6,20,,False,3,2,34,4.0,0,3.0,1,3,False,3,1,0.2102156445868293
28,2,20.0,True,1.0,True,False,True,1.0,1,,2,7,66,,False,1,1,12,0.41255389378,1,1.0,3,1,True,3,3,0.4940945771976026
31,1,20.0,True,1.0,False,False,True,3.0,4,3.0,3,5,76,,False,1,2,26,0.922475632,0,3.0,3,1,False,3,2,0.4017733184599421
32,2,20.0,True,1.0,False,False,True,1.0,3,2.0,1,8,75,,False,1,1,42,0.507503387,0,3.0,3,1,True,3,1,0.4940945771976026
35,2,3.0,True,1.0,False,False,True,3.0,3,2.0,3,7,67,,False,2,1,17,0.424944789,0,3.0,3,2,True,3,2,0.1107553113143782
36,2,28.0,True,1.0,True,False,True,1.0,1,,3,3,43,,False,1,1,45,1.38633449332,1,1.0,2,1,True,1,3,0.6490764245733576
37,1,20.0,True,1.0,False,False,False,2.0,3,1.0,3,5,69,,True,1,1,39,1.535639869,1,3.0,3,4,True,3,2,0.4295447375457845
40,2,13.0,True,1.0,True,False,True,1.0,3,1.0,4,7,64,,False,1,1,25,0.507503387,1,3.0,3,1,True,3,1,0.4940945771976026
44,1,28.0,True,1.0,False,False,True,3.0,4,3.0,3,7,65,,False,9,1,26,0.502546937,1,3.0,3,9,True,3,2,0.55438178108617
45,1,20.0,True,1.0,False,False,True,3.0,3,2.0,3,6,84,,False,1,2,13,0.888733406,0,3.0,3,1,False,3,3,0.4017733184599421
48,2,20.0,True,1.0,False,True,True,1.0,2,,1,8,63,,False,2,2,47,0.4894842605,0,2.0,3,2,False,3,3,0.0768634545783466
51,2,20.0,True,1.0,True,False,True,1.0,1,,4,7,60,,False,1,1,36,0.49735331926,1,1.0,3,1,True,3,1,0.4940945771976026
53,2,13.0,True,1.0,True,False,False,3.0,3,1.0,3,3,54,,False,2,1,51,1.375740268,1,3.0,2,2,True,1,3,0.2045194900649204
56,2,20.0,True,1.0,False,False,True,2.0,1,,3,8,32,,False,1,1,12,0.46278325674,0,1.0,1,1,True,3,3,0.4589593559582667
57,2,29.0,True,1.0,True,False,True,3.0,1,,4,3,64,,False,1,1,18,1.04544547702,1,1.0,3,1,True,1,2,0.6383140764053872
60,1,20.0,True,1.0,False,False,True,3.0,1,,2,3,73,,False,1,2,23,1.41634181304,1,1.0,3,1,False,1,1,0.5489726726016116
61,2,30.0,True,4.0,False,False,True,3.0,3,1.0,2,3,62,,False,1,1,45,1.027760482,0,3.0,3,1,True,1,3,0.6383140764053872
62,1,20.0,True,1.0,False,False,True,3.0,1,,4,8,95,,False,1,2,12,0.48122307688,1,1.0,3,1,False,3,3,0.4017733184599421
63,1,20.0,True,1.0,False,False,True,3.0,1,,4,3,69,,False,1,1,18,1.04544547702,1,1.0,3,1,True,1,2,0.6383140764053872
64,2,20.0,True,1.0,True,False,True,1.0,1,,4,5,52,,True,1,1,12,1.46364009302,1,1.0,2,4,True,3,3,0.4368002123547066
67,2,9.0,True,4.0,False,False,False,2.0,3,1.0,3,8,42,,False,1,1,42,0.48258571,1,3.0,2,1,True,3,1,0.5017550319222035
68,2,20.0,True,1.0,False,False,True,3.0,2,,1,8,54,,False,1,1,36,0.49465035275,0,2.0,2,1,True,3,1,0.5017550319222035
70,2,20.0,True,1.0,False,False,False,3.0,1,,2,8,60,,False,2,1,36,0.48368154506,0,1.0,3,2,True,3,1,0.1107553113143782
71,1,29.0,True,1.0,False,False,False,3.0,2,,1,6,56,,False,1,1,13,0.780961483049998,0,2.0,3,1,True,3,3,0.4940945771976026
