vote_choice_recoded,age_recoded,education_recoded,race_recoded,male,state
1,1,3,1,True,34
1,3,3,1,True,37
0,3,3,1,False,37
1,2,3,9,False,13
1,3,3,1,True,45
1,2,1,1,True,42
0,1,3,1,True,34
1,2,3,1,False,39
1,1,3,1,True,9
0,1,3,1,True,36
0,2,3,1,False,6
1,3,3,1,True,37
0,3,1,1,False,42
1,1,1,1,True,36
1,2,3,4,True,12
0,2,3,1,True,36
1,3,3,4,True,12
0,3,3,1,True,37
0,3,3,9,True,45
1,3,1,1,False,54
1,3,3,1,True,12
0,3,1,1,False,36
0,3,3,1,False,13
0,2,3,1,False,23
0,1,3,4,True,45
0,2,3,1,False,12
1,3,3,1,False,13
1,3,3,1,False,45
0,3,3,2,False,36
1,1,3,4,True,36
0,3,3,1,True,51
0,1,3,3,True,34
1,2,3,1,True,51
0,2,3,1,True,37
1,3,3,1,False,12
0,3,3,2,True,12
0,1,3,1,False,11
0,2,3,1,True,36
0,3,3,1,True,34
1,1,3,1,False,42
0,3,1,2,False,34
1,3,1,1,True,36
1,3,3,1,True,51
0,3,3,2,True,36
1,3,3,1,False,36
1,3,3,1,True,12
0,3,3,1,False,36
0,2,3,2,True,24
0,3,1,1,False,42
0,3,3,1,False,36
0,3,3,1,False,12
0,3,3,1,False,12
1,3,1,1,False,42
0,3,1,1,True,25
0,3,3,1,False,26
1,3,3,1,False,9
1,3,1,1,True,21
1,2,3,1,True,37
1,3,3,1,True,55
0,3,3,9,True,13
1,3,3,1,False,42
0,3,3,1,True,12
0,3,3,1,True,42
1,2,3,1,True,1
1,3,3,1,False,45
0,3,1,1,True,51
1,3,1,1,True,9
0,3,3,2,False,39
0,3,3,1,False,1
0,3,1,2,True,18
0,1,3,1,False,8
0,3,3,3,False,25
1,3,3,1,True,48
0,2,3,1,True,20
0,1,3,1,False,39
1,3,1,1,True,48
0,3,3,1,False,22
1,3,1,1,False,47
0,3,3,1,False,48
0,2,3,4,False,48
1,2,3,1,True,39
0,3,3,1,True,55
0,3,3,1,False,48
0,3,3,1,True,19
0,3,3,2,False,17
1,3,3,1,False,29
0,3,3,1,False,38
1,3,3,1,False,17
1,3,3,1,False,5
1,2,3,1,False,48
1,2,3,1,True,27
0,3,3,2,False,28
1,3,1,1,False,39
0,3,3,1,True,17
1,3,1,1,True,55
1,3,3,1,False,17
0,2,3,2,True,47
1,2,1,1,False,21
0,3,3,2,False,39
1,3,1,1,True,17
0,3,3,1,True,17
0,3,3,1,False,18
1,3,3,1,True,39
1,3,3,1,False,28
1,3,3,1,False,29
