RESPID,PHTYPE,top_household_concern,registered_vote,likely_to_vote,vote_choice,vote_choice_undecided,approve_trump,approve_biden,optimistic,elec_enthusiasm,economic_situation,focused_imp_issues,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region
11,2,20.0,True,1.0,9.0,9.0,False,False,True,3,3,True,9,1.0,2,5,53,,False,1,1,24.0,0.879980144,3.0,1.0,2.0,1,True,2,3.0
14,2,29.0,True,1.0,1.0,,True,False,True,1,2,True,3,1.0,2,5,28,,False,1,1,34.0,1.089499225,1.0,3.0,1.0,1,True,2,1.0
19,2,28.0,True,1.0,1.0,,True,False,True,1,2,True,1,,3,7,75,,False,1,1,37.0,0.52027335264,1.0,1.0,3.0,1,True,2,3.0
30,2,20.0,True,1.0,2.0,,False,True,True,1,2,False,2,,3,7,63,,False,1,2,37.0,0.573838917,2.0,2.0,3.0,1,False,2,3.0
43,2,20.0,True,1.0,8.0,1.0,False,True,False,2,2,True,4,1.0,2,7,47,,False,5,2,13.0,0.972233618,1.0,1.0,2.0,9,False,2,3.0
44,2,20.0,True,1.0,1.0,,True,False,True,3,2,True,3,1.0,3,7,65,,False,1,1,45.0,0.517684928,1.0,3.0,3.0,1,True,2,3.0
47,2,1.0,True,2.0,1.0,,False,False,False,2,1,False,4,1.0,2,3,50,,False,1,1,42.0,1.488708791,1.0,1.0,2.0,1,True,1,1.0
52,2,20.0,True,1.0,2.0,,False,False,False,1,2,False,2,,1,8,31,,False,1,1,34.0,0.628926985,2.0,2.0,1.0,1,True,2,1.0
60,2,20.0,True,1.0,1.0,,False,False,False,3,1,True,1,,2,6,48,,False,1,2,39.0,1.08035841549,1.0,1.0,2.0,1,False,2,2.0
65,1,20.0,True,1.0,1.0,,True,False,True,1,3,True,3,1.0,2,6,25,,False,1,1,9.0,1.089499225,1.0,3.0,1.0,1,True,2,1.0
72,2,20.0,True,1.0,2.0,,False,True,True,3,3,False,2,,1,8,26,,False,1,1,36.0,0.628926985,2.0,2.0,1.0,1,True,2,1.0
73,2,20.0,True,1.0,2.0,,False,False,False,2,2,False,2,,1,8,36,,False,1,2,6.0,0.460296464,2.0,2.0,2.0,1,False,2,4.0
74,1,20.0,True,1.0,1.0,,True,False,True,1,2,True,1,,2,7,70,,False,1,1,37.0,0.52027335264,1.0,1.0,3.0,1,True,2,3.0
77,1,13.0,True,1.0,2.0,,False,True,False,3,2,False,2,,1,3,87,,False,1,2,42.0,1.154740286,2.0,2.0,3.0,1,False,1,1.0
78,2,2.0,False,,,,False,False,False,2,2,False,3,2.0,1,8,25,,True,1,1,36.0,1.178210929,,3.0,1.0,4,True,2,1.0
81,2,8.0,True,4.0,8.0,1.0,False,False,False,3,2,True,9,9.0,3,2,29,,False,1,1,36.0,1.851177741,1.0,3.0,1.0,1,True,1,1.0
84,2,20.0,True,1.0,1.0,,False,False,True,1,2,False,1,,1,6,44,,True,4,1,12.0,1.732733905695,1.0,1.0,2.0,4,True,2,3.0
92,2,20.0,True,1.0,2.0,,False,False,False,2,2,False,2,,1,7,52,,False,1,1,36.0,0.426022133,2.0,2.0,2.0,1,True,2,1.0
95,2,20.0,False,,,,False,True,True,1,2,False,2,,1,3,75,,False,1,1,45.0,1.089506842,,2.0,3.0,1,True,1,3.0
97,2,20.0,True,1.0,1.0,,True,False,True,3,3,True,1,,2,5,67,,True,4,1,12.0,1.3287729507,1.0,1.0,3.0,4,True,2,3.0
107,2,20.0,True,1.0,2.0,,False,False,True,1,2,False,3,2.0,3,7,72,,False,1,1,37.0,0.517684928,2.0,3.0,3.0,1,True,2,3.0
117,2,2.0,True,1.0,2.0,,False,True,True,1,2,False,3,3.0,3,6,99,3.0,False,9,1,45.0,0.833792644,2.0,3.0,3.0,9,True,2,3.0
139,1,20.0,True,2.0,1.0,,False,False,True,2,2,False,2,,2,2,66,,False,1,2,54.0,1.207687133,1.0,2.0,3.0,1,False,1,3.0
143,2,20.0,True,1.0,1.0,,False,False,True,1,3,True,1,,2,5,68,,False,1,1,12.0,0.709296735480002,1.0,1.0,3.0,1,True,2,3.0
145,1,20.0,True,1.0,2.0,,False,False,False,2,2,True,2,,3,3,83,,False,1,2,36.0,1.154740286,2.0,2.0,3.0,1,False,1,1.0
146,1,14.0,True,1.0,2.0,,False,False,False,2,1,False,3,2.0,3,7,90,,False,1,2,13.0,0.573838917,2.0,3.0,3.0,1,False,2,3.0
149,2,20.0,True,1.0,2.0,,False,False,False,1,2,False,2,,1,8,50,,False,1,2,23.0,0.472233334,2.0,2.0,2.0,1,False,2,1.0
152,2,20.0,True,1.0,2.0,,False,False,True,1,3,False,2,,2,5,24,,True,5,1,45.0,2.134616516,2.0,2.0,1.0,4,True,2,3.0
178,2,2.0,True,1.0,2.0,,False,True,True,1,2,False,2,,3,8,54,,False,1,2,12.0,0.493886052,2.0,2.0,2.0,1,False,2,3.0
182,1,20.0,True,1.0,1.0,,True,False,False,1,1,True,1,,2,4,57,,False,1,2,13.0,1.213725568665,1.0,1.0,3.0,1,False,2,3.0
191,1,14.0,True,3.0,8.0,9.0,False,False,True,3,1,False,2,,3,3,36,,False,1,1,34.0,1.488708791,3.0,2.0,2.0,1,True,1,1.0
193,2,20.0,True,1.0,1.0,,True,False,False,3,2,True,1,,2,5,67,,False,1,2,45.0,0.786235118504999,1.0,1.0,3.0,1,False,2,3.0
203,2,1.0,True,1.0,2.0,,False,True,False,2,2,True,3,2.0,3,6,58,,False,2,2,36.0,1.007586439,2.0,3.0,3.0,2,False,2,1.0
205,1,1.0,True,3.0,1.0,,False,False,True,1,2,True,1,,3,7,25,,True,4,1,36.0,1.184101983645,1.0,1.0,1.0,4,True,2,1.0
207,2,20.0,False,,,,False,False,False,2,2,False,2,,1,7,28,,False,1,1,34.0,0.628926985,,2.0,1.0,1,True,2,1.0
211,2,1.0,True,1.0,2.0,,False,True,True,3,2,False,3,2.0,3,5,57,,False,1,1,51.0,0.705767896,2.0,3.0,3.0,1,True,2,3.0
238,1,2.0,False,,,,True,False,False,9,2,False,1,,4,1,92,,False,1,2,36.0,1.16051398743,,1.0,3.0,1,False,1,1.0
241,2,3.0,True,1.0,8.0,9.0,False,False,False,3,2,False,9,9.0,4,4,40,,False,1,1,42.0,1.488708791,3.0,3.0,2.0,1,True,2,1.0
249,2,4.0,True,1.0,2.0,,False,False,True,3,1,False,2,,1,7,31,,False,3,1,34.0,1.238066869,2.0,2.0,1.0,3,True,2,1.0
251,2,20.0,True,2.0,6.0,1.0,True,False,True,3,3,True,3,1.0,2,5,48,,False,1,1,51.0,0.920328761,1.0,3.0,2.0,1,True,2,3.0
260,1,20.0,True,1.0,2.0,,False,False,False,1,2,False,2,,1,7,35,,False,1,1,37.0,0.445555987,2.0,2.0,2.0,1,True,2,3.0
271,1,20.0,True,1.0,1.0,,True,False,True,1,3,True,1,,2,7,57,,False,1,2,12.0,0.576708111585,1.0,1.0,3.0,1,False,2,3.0
274,1,20.0,True,1.0,2.0,,False,False,False,2,2,False,2,,3,7,55,,False,2,1,12.0,0.69731913,2.0,2.0,3.0,2,True,2,3.0
280,2,20.0,False,,,,True,False,True,1,2,True,3,1.0,3,5,41,,False,2,1,12.0,1.239678453,,3.0,2.0,2,True,2,3.0
291,2,20.0,True,1.0,2.0,,False,False,True,3,2,False,2,,3,7,33,,False,1,2,11.0,0.697147552,2.0,2.0,1.0,1,False,2,3.0
293,2,20.0,True,1.0,2.0,,False,False,False,1,1,False,4,1.0,3,8,47,,False,1,1,36.0,0.426022133,2.0,1.0,2.0,1,True,2,1.0
296,2,20.0,True,2.0,2.0,,False,False,False,2,2,False,2,,1,7,65,,False,1,1,34.0,0.494988831,2.0,2.0,3.0,1,True,2,1.0
297,2,28.0,True,1.0,1.0,,False,False,False,3,2,True,1,,3,7,29,,False,1,2,42.0,0.700633289760002,1.0,1.0,1.0,1,False,2,1.0
310,2,20.0,True,1.0,2.0,,False,True,True,1,2,False,2,,3,3,64,,False,2,2,34.0,1.55542966,2.0,2.0,3.0,2,False,1,1.0
313,1,9.0,True,1.0,1.0,,False,False,True,3,1,True,1,,2,3,59,,False,1,1,36.0,1.046949904995,1.0,1.0,3.0,1,True,1,1.0
316,2,28.0,True,1.0,1.0,,True,False,True,3,2,True,1,,2,7,58,,False,1,1,51.0,0.52027335264,1.0,1.0,3.0,1,True,2,3.0
318,1,20.0,True,1.0,2.0,,False,True,True,1,1,False,2,,3,4,66,,False,2,1,36.0,1.403220429,2.0,2.0,3.0,2,True,2,1.0
319,1,30.0,True,1.0,1.0,,True,False,False,1,2,False,1,,3,6,70,,False,1,2,36.0,0.751765371225,1.0,1.0,3.0,1,False,2,1.0
320,1,20.0,True,1.0,1.0,,True,False,True,3,1,True,3,1.0,2,7,75,,False,1,1,12.0,0.517684928,1.0,3.0,3.0,1,True,2,3.0
322,2,20.0,False,,,,True,False,False,3,2,True,1,,2,5,50,,False,1,2,54.0,1.025258865375,,1.0,2.0,1,False,2,3.0
326,2,20.0,True,1.0,8.0,9.0,False,True,False,2,1,False,4,2.0,2,6,32,,False,2,2,24.0,1.626737438,3.0,2.0,1.0,2,False,2,3.0
334,1,20.0,True,1.0,2.0,,False,True,True,2,1,False,2,,3,7,64,,False,1,2,36.0,0.548680943,2.0,2.0,3.0,1,False,2,1.0
344,2,2.0,True,1.0,2.0,,False,True,True,3,2,False,2,,3,7,53,,False,2,1,24.0,0.573849782,2.0,2.0,2.0,2,True,2,3.0
346,1,20.0,False,,,,False,False,False,3,2,True,1,,3,2,77,,False,1,2,37.0,1.213725568665,,1.0,3.0,1,False,1,3.0
350,2,5.0,True,2.0,2.0,,False,True,True,1,2,False,1,,2,2,60,,False,1,2,42.0,1.16051398743,2.0,1.0,3.0,1,False,1,1.0
351,2,20.0,True,1.0,2.0,,False,True,True,3,2,False,2,,3,8,55,,False,1,2,36.0,0.548680943,2.0,2.0,3.0,1,False,2,1.0
363,1,9.0,True,1.0,2.0,,False,False,False,1,2,False,2,,1,8,65,,False,1,2,12.0,0.573838917,2.0,2.0,3.0,1,False,2,3.0
367,2,20.0,True,1.0,2.0,,False,True,False,3,1,False,2,,1,7,72,,False,1,2,12.0,0.573838917,2.0,2.0,3.0,1,False,2,3.0
376,1,1.0,True,1.0,1.0,,False,False,True,3,2,True,1,,2,3,82,,False,1,2,42.0,1.16051398743,1.0,1.0,3.0,1,False,1,1.0
383,2,20.0,True,1.0,2.0,,False,False,True,3,2,False,2,,1,3,83,,False,1,1,25.0,1.041741199,2.0,2.0,3.0,1,True,1,1.0
384,1,20.0,True,1.0,2.0,,False,False,False,1,2,False,2,,3,6,58,,False,1,2,26.0,0.824367198,2.0,2.0,3.0,1,False,2,2.0
386,2,20.0,True,1.0,1.0,,True,False,True,3,2,True,1,,1,5,70,,False,1,2,9.0,0.751765371225,1.0,1.0,3.0,1,False,2,1.0
391,1,30.0,True,1.0,1.0,,True,False,True,3,2,True,1,,2,3,60,,False,1,1,21.0,1.09495437621,1.0,1.0,3.0,1,True,1,3.0
393,2,20.0,True,1.0,8.0,9.0,False,False,True,2,3,False,1,,2,6,30,,True,4,1,9.0,2.05123682935499,3.0,1.0,1.0,4,True,2,1.0
403,2,3.0,True,3.0,1.0,,True,False,True,3,1,False,9,1.0,2,8,45,,False,1,1,37.0,0.445555987,1.0,1.0,2.0,1,True,2,3.0
406,1,20.0,True,1.0,1.0,,False,False,False,3,2,True,1,,2,7,76,,False,1,1,55.0,0.54823392798,1.0,1.0,3.0,1,True,2,2.0
409,1,20.0,True,2.0,2.0,,False,False,True,3,2,False,2,,1,7,70,,False,5,1,13.0,1.019082617,2.0,2.0,3.0,9,True,2,3.0
411,1,9.0,True,1.0,1.0,,True,False,True,3,2,True,1,,2,5,75,,False,1,2,42.0,0.751765371225,1.0,1.0,3.0,1,False,2,1.0
412,1,28.0,True,1.0,2.0,,False,False,True,2,2,False,2,,1,7,56,,False,1,1,12.0,0.517684928,2.0,2.0,3.0,1,True,2,3.0
416,1,20.0,False,,,,False,True,False,3,2,False,4,3.0,2,2,85,,False,2,2,13.0,1.62674881,,3.0,3.0,2,False,1,3.0
420,1,20.0,False,,,,False,False,True,3,2,True,3,3.0,3,3,55,,False,1,2,39.0,1.272590759,,3.0,3.0,1,False,1,2.0
425,2,1.0,False,,,,False,False,True,1,2,True,4,1.0,2,2,22,,False,1,1,19.0,2.040105221,,1.0,1.0,1,True,1,2.0
427,1,16.0,True,1.0,2.0,,False,False,True,1,2,True,2,,1,8,73,,False,1,1,42.0,0.494988831,2.0,2.0,3.0,1,True,2,1.0
429,1,20.0,True,1.0,1.0,,False,False,True,1,2,True,1,,2,6,43,,False,1,1,1.0,0.924930404804998,1.0,1.0,2.0,1,True,2,3.0
430,1,20.0,True,1.0,1.0,,False,False,False,2,3,True,1,,3,7,60,,False,1,2,45.0,0.576708111585,1.0,1.0,3.0,1,False,2,3.0
431,2,2.0,True,1.0,2.0,,False,False,True,1,1,False,2,,1,3,68,,False,1,1,51.0,1.089506842,2.0,2.0,3.0,1,True,1,3.0
445,1,28.0,True,1.0,1.0,,True,False,True,1,1,True,1,,2,2,91,,False,1,1,9.0,1.046949904995,1.0,1.0,3.0,1,True,1,1.0
448,2,20.0,False,,,,True,False,True,1,2,True,1,,3,8,65,,False,1,1,33.0,0.497463775155,,1.0,3.0,1,True,2,1.0
454,1,6.0,True,1.0,2.0,,False,True,True,3,1,True,2,,1,8,84,,False,2,2,39.0,0.814498676,2.0,2.0,3.0,2,False,2,2.0
455,1,20.0,True,1.0,2.0,,False,True,True,1,1,False,2,,1,7,56,,False,1,2,1.0,0.573838917,2.0,2.0,3.0,1,False,2,3.0
457,1,20.0,True,1.0,2.0,,False,False,True,3,1,False,2,,2,3,60,,False,2,1,18.0,1.546430286,2.0,2.0,3.0,2,True,1,2.0
461,2,1.0,True,1.0,2.0,,False,False,True,3,1,False,2,,1,5,25,,False,1,2,8.0,1.212802043,2.0,2.0,1.0,1,False,2,4.0
464,1,20.0,True,1.0,6.0,2.0,False,False,True,3,2,False,2,,1,8,72,,False,3,2,25.0,1.080099461,2.0,2.0,3.0,3,False,2,1.0
477,1,20.0,True,1.0,1.0,,True,False,True,3,2,True,1,,2,5,81,,False,1,1,48.0,0.681077221890001,1.0,1.0,3.0,1,True,2,3.0
479,2,20.0,True,1.0,2.0,,False,False,True,1,2,False,3,2.0,3,8,51,,False,1,1,20.0,0.469501096,2.0,3.0,2.0,1,True,2,2.0
480,2,2.0,True,1.0,2.0,,False,False,True,2,2,True,2,,3,7,29,,False,1,2,39.0,0.76829703,2.0,2.0,1.0,1,False,2,2.0
481,2,3.0,True,2.0,1.0,,False,False,True,3,2,True,3,3.0,3,3,62,,False,1,1,48.0,1.046160593,1.0,3.0,3.0,1,True,1,3.0
492,2,6.0,True,1.0,2.0,,False,False,True,2,1,False,3,2.0,1,8,74,,False,1,2,22.0,0.573838917,2.0,3.0,3.0,1,False,2,3.0
495,2,9.0,True,1.0,1.0,,True,False,True,3,1,True,1,,2,3,70,,False,1,2,47.0,1.213725568665,1.0,1.0,3.0,1,False,1,3.0
503,1,20.0,True,1.0,2.0,,False,True,True,1,2,False,2,,1,8,72,,False,1,2,48.0,0.55100862,2.0,2.0,3.0,1,False,2,3.0
509,1,20.0,True,1.0,2.0,,False,False,True,3,2,False,2,,3,7,45,,True,4,2,48.0,0.888419279,2.0,2.0,2.0,4,False,2,3.0
510,1,20.0,True,1.0,1.0,,True,False,True,3,2,True,4,1.0,2,8,52,,False,1,1,39.0,0.469501096,1.0,1.0,2.0,1,True,2,2.0
511,1,2.0,True,1.0,2.0,,False,True,True,1,2,False,3,2.0,1,5,77,,False,1,1,55.0,0.743697335,2.0,3.0,3.0,1,True,2,2.0
512,1,20.0,True,1.0,2.0,,False,True,True,9,2,False,2,,3,7,68,,False,1,2,48.0,0.55100862,2.0,2.0,3.0,1,False,2,3.0
514,1,20.0,True,1.0,2.0,,False,False,False,3,2,False,3,2.0,3,6,65,,False,1,1,19.0,0.743697335,2.0,3.0,3.0,1,True,2,2.0
515,1,20.0,True,1.0,2.0,,False,True,True,1,1,False,2,,1,5,81,,False,2,2,17.0,1.110418686,2.0,2.0,3.0,2,False,2,2.0
516,2,3.0,False,,,,False,False,True,3,2,True,3,3.0,3,6,55,,False,1,1,48.0,0.677688778,,3.0,3.0,1,True,2,3.0
521,1,30.0,True,1.0,1.0,,True,False,True,9,3,True,1,,4,5,57,,False,1,2,29.0,0.828489033990003,1.0,1.0,3.0,1,False,2,2.0
529,1,2.0,True,2.0,2.0,,False,True,False,1,1,False,2,,1,6,65,,False,1,2,38.0,0.824367198,2.0,2.0,3.0,1,False,2,2.0
536,1,2.0,True,2.0,1.0,,True,False,True,1,1,False,1,,2,8,72,,False,1,2,17.0,0.607701609089999,1.0,1.0,3.0,1,False,2,2.0
540,2,2.0,True,1.0,1.0,,True,False,True,1,2,True,1,,2,5,63,,False,1,2,5.0,0.786235118504999,1.0,1.0,3.0,1,False,2,3.0
547,2,20.0,True,1.0,1.0,,False,False,True,3,2,True,3,1.0,3,5,45,,False,1,2,48.0,0.979570881,1.0,3.0,2.0,1,False,2,3.0
551,1,20.0,True,1.0,1.0,,False,False,True,3,2,True,1,,2,4,47,,False,1,1,27.0,1.64884663509,1.0,1.0,2.0,1,True,2,2.0
558,1,20.0,True,1.0,2.0,,True,False,True,3,1,False,2,,3,6,73,,False,2,2,28.0,1.053786026,2.0,2.0,3.0,2,False,2,3.0
565,1,20.0,True,1.0,1.0,,True,False,True,3,2,True,1,,2,3,69,,False,1,2,39.0,1.278953712795,1.0,1.0,3.0,1,False,1,2.0
570,1,3.0,True,3.0,8.0,9.0,False,False,False,2,2,False,3,3.0,3,5,33,,False,2,2,29.0,1.792758991,3.0,3.0,1.0,2,False,2,2.0
