RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,approve_trump,approve_biden,trump_stamina,biden_stamina,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,STATEFIP,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity,mrp_subgroup_estimate_se,prop_small,propensity_fix
4,2,1,True,1.0,False,True,False,True,False,3.0,2,,3,8,80,,False,2,2,37,0.649034757460002,37,0,2.0,3,2,False,3,3,0.091760691372901,0.0314726948325369,0.0768634545783466,0.091760691372901
5,2,2,True,1.0,False,False,False,True,True,3.0,2,,1,7,61,,False,1,1,36,0.58587780566,36,0,2.0,3,1,True,3,1,0.3724183358334684,0.0404990786070361,0.4940945771976026,0.3724183358334684
17,2,2,True,1.0,False,True,False,True,True,1.0,2,,1,6,53,,False,2,2,13,0.943746318959999,13,0,2.0,2,2,False,3,3,0.0996435539544755,0.0322803864060858,0.0790572171433126,0.0996435539544755
21,2,1,True,1.0,False,False,False,True,False,3.0,2,,1,3,54,,False,1,2,42,1.35575914042,42,0,2.0,2,1,False,1,1,0.4594372445297325,0.0632724964544724,0.5607102200935249,0.4594372445297325
22,2,1,True,2.0,False,False,False,True,True,2.0,1,,2,7,45,,False,1,1,9,0.52431693012,9,0,1.0,2,1,True,3,1,0.3770772825772738,0.040626894432691,0.5017550319222035,0.3770772825772738
32,2,2,True,1.0,False,False,False,True,True,1.0,3,2.0,3,5,61,,False,1,1,37,0.83531035985,37,0,3.0,3,1,True,3,3,0.5228043207631669,0.0404990786070361,0.4940945771976026,0.5228043207631669
39,2,2,True,1.0,True,False,True,False,True,1.0,1,,2,7,67,,False,1,1,23,0.56376920922,23,1,1.0,3,1,True,3,1,0.5070073715995382,0.0404990786070361,0.4940945771976026,0.5070073715995382
48,2,3,True,1.0,True,False,True,False,True,3.0,1,,4,3,31,,False,1,1,4,1.34706982992,4,1,1.0,1,1,True,1,4,0.6594817588273207,0.0649377019640003,0.6232752821548939,0.6594817588273207
49,2,1,True,1.0,False,False,False,True,False,3.0,2,,2,8,47,,False,1,2,9,0.606233761579999,9,0,2.0,2,1,False,3,1,0.3003423341919098,0.039194595384413,0.4092546370180767,0.3003423341919098
55,2,3,True,2.0,False,False,False,False,False,2.0,3,2.0,2,9,99,1.0,False,3,1,37,1.77608392945,37,0,3.0,3,3,True,3,3,0.3382360637548864,0.1007567413430058,0.2929551263198037,0.3382360637548864
57,2,2,True,1.0,True,False,True,False,False,9.0,1,,4,7,99,3.0,False,1,1,13,0.53825945394,13,1,1.0,3,1,True,3,3,0.5451203533209816,0.0404990786070361,0.4940945771976026,0.5451203533209816
59,2,2,True,2.0,False,False,False,True,False,3.0,4,2.0,3,7,61,,False,1,2,24,0.584205082100002,24,0,2.0,3,1,False,3,3,0.2509084845525576,0.0360106900661803,0.4017733184599421,0.2509084845525576
63,2,2,True,1.0,False,False,False,True,True,1.0,3,1.0,3,8,70,,False,1,2,33,0.584205082100002,33,0,3.0,3,1,False,3,1,0.4298188209877201,0.0360106900661803,0.4017733184599421,0.4298188209877201
68,2,1,True,2.0,False,False,False,True,False,1.0,3,2.0,3,3,37,,False,1,1,12,1.0426776167,12,0,3.0,2,1,True,1,3,0.6588874708386192,0.0578346671219618,0.6490764245733576,0.6588874708386192
74,2,2,True,1.0,False,False,True,False,True,3.0,1,,2,5,72,,False,1,1,36,0.939364449780002,36,1,1.0,3,1,True,3,1,0.3724183358334684,0.0404990786070361,0.4940945771976026,0.3724183358334684
81,2,2,True,1.0,False,False,False,True,False,1.0,3,3.0,1,7,99,3.0,False,1,1,12,0.50132007965,12,0,3.0,3,1,True,3,3,0.5409723045873124,0.0404990786070361,0.4940945771976026,0.5409723045873124
82,2,2,True,1.0,False,True,False,True,True,1.0,2,,1,8,41,,False,5,2,37,1.31190761988,37,0,2.0,2,9,False,3,3,0.5088907833918941,0.1230039301711664,0.4864516248744941,0.5088907833918941
93,2,2,True,1.0,True,False,True,False,True,1.0,1,,3,1,89,,False,1,1,13,1.23952190814,13,1,1.0,3,1,True,1,3,0.6622469978275699,0.0534926909646688,0.6383140764053872,0.6622469978275699
95,2,1,True,3.0,False,False,False,False,False,2.0,3,3.0,3,5,50,,False,1,1,51,0.728957846550001,51,1,3.0,2,1,True,3,3,0.5353671591137025,0.040626894432691,0.5017550319222035,0.5353671591137025
108,2,2,True,1.0,False,False,False,True,False,2.0,2,,3,5,65,,False,1,2,42,1.08612637014,42,0,2.0,3,1,False,3,1,0.3409866427186349,0.0360106900661803,0.4017733184599421,0.3409866427186349
110,2,2,True,2.0,False,False,False,False,False,3.0,4,1.0,2,3,42,,False,1,2,36,1.21506715415,36,1,1.0,2,1,False,1,1,0.4101934577950912,0.0632724964544724,0.5607102200935249,0.4101934577950912
114,2,2,True,1.0,False,True,False,True,True,1.0,3,2.0,4,8,68,,False,1,1,42,0.52507916545,42,0,3.0,3,1,True,3,1,0.4215544614086422,0.0404990786070361,0.4940945771976026,0.4215544614086422
119,2,2,True,2.0,False,False,True,False,True,3.0,4,1.0,3,3,19,,False,2,1,12,1.07949100495,12,0,1.0,1,2,True,1,3,0.1902609418404785,0.0767829682351089,0.1879762443681596,0.1902609418404785
129,2,2,True,1.0,False,True,False,True,False,3.0,2,,1,8,68,,False,1,1,54,0.55936766782,54,0,2.0,3,1,True,3,3,0.5687213204524746,0.0404990786070361,0.4940945771976026,0.5687213204524746
141,2,2,True,1.0,False,False,False,True,True,2.0,2,,1,8,70,,False,1,2,12,0.622354600919999,12,0,2.0,3,1,False,3,3,0.4550999808665094,0.0360106900661803,0.4017733184599421,0.4550999808665094
144,2,1,True,1.0,False,True,False,True,True,1.0,2,,3,2,41,,False,1,2,13,1.29441296648,13,0,2.0,2,1,False,1,3,0.582500472250183,0.0632724964544724,0.5607102200935249,0.582500472250183
157,2,2,True,1.0,False,True,False,True,True,1.0,1,,3,6,84,,False,1,1,12,0.896859544259999,12,0,1.0,3,1,True,3,3,0.5409723045873124,0.0404990786070361,0.4940945771976026,0.5409723045873124
171,2,2,True,1.0,False,False,True,False,False,3.0,1,,4,7,64,,False,1,1,42,0.56376920922,42,1,1.0,3,1,True,3,1,0.4215544614086422,0.0404990786070361,0.4940945771976026,0.4215544614086422
187,1,2,True,1.0,False,False,False,True,False,1.0,2,,2,3,74,,False,1,1,42,1.34917904414,42,0,2.0,3,1,True,1,1,0.5431640359320629,0.0534926909646688,0.6383140764053872,0.5431640359320629
194,1,2,True,1.0,False,False,True,False,True,3.0,1,,4,5,71,,False,1,2,21,0.9978493485,21,1,1.0,3,1,False,3,3,0.4485138039294085,0.0360106900661803,0.4017733184599421,0.4485138039294085
201,2,3,True,1.0,False,False,True,True,True,1.0,4,1.0,4,6,27,,False,1,1,37,1.3542298925,37,1,1.0,1,1,True,3,3,0.5063560245134366,0.0503518404480937,0.4589593559582667,0.5063560245134366
203,2,2,True,1.0,False,False,False,True,True,3.0,2,,3,3,61,,False,1,2,13,1.43317902928,13,0,2.0,3,1,False,1,3,0.5819011283419396,0.0561200944636819,0.5489726726016116,0.5819011283419396
220,2,2,True,1.0,True,False,True,False,True,1.0,1,,4,3,65,,False,1,2,34,1.44445640052,34,1,1.0,3,1,False,1,1,0.4617511012243541,0.0561200944636819,0.5489726726016116,0.4617511012243541
231,1,2,True,1.0,True,False,True,False,True,1.0,3,1.0,4,7,99,3.0,False,1,2,39,0.55963313735,39,1,3.0,3,1,False,3,2,0.4705071015001206,0.0360106900661803,0.4017733184599421,0.4705071015001206
242,2,2,True,1.0,False,False,False,True,False,1.0,2,,1,8,58,,False,2,2,34,0.679794492539998,34,0,2.0,3,2,False,3,1,0.0639200737517453,0.0314726948325369,0.0768634545783466,0.0639200737517453
247,1,2,True,3.0,False,False,False,True,False,2.0,1,,2,8,90,,False,1,1,48,0.65240342502,48,0,1.0,3,1,True,3,3,0.6220719570570443,0.0404990786070361,0.4940945771976026,0.6220719570570443
257,2,2,True,1.0,False,True,False,True,True,1.0,2,,3,7,85,,False,1,1,6,0.55547847482,6,0,2.0,3,1,True,3,4,0.3670938980914957,0.0404990786070361,0.4940945771976026,0.3670938980914957
272,2,2,True,1.0,False,True,False,True,True,1.0,2,,1,7,71,,False,1,2,37,0.622354600919999,37,0,2.0,3,1,False,3,3,0.4372159059540661,0.0360106900661803,0.4017733184599421,0.4372159059540661
