RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,approve_trump,approve_biden,trump_stamina,biden_stamina,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity,STATEFIP,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
4,2,1,True,1.0,False,True,False,True,False,3.0,2,,3,8,80,,False,2,2,0.649034757460002,0,2.0,3,2,False,3,3,0.080391418570376,37,37,north carolina,16.0,44,39,5,"5,774",Competitive
5,2,2,True,1.0,False,False,False,True,True,3.0,2,,1,7,61,,False,1,1,0.58587780566,0,2.0,3,1,True,3,1,0.4972405472879573,36,36,new york,28.0,52,29,23,"10,864",Solid Dem
17,2,2,True,1.0,False,True,False,True,True,1.0,2,,1,6,53,,False,2,2,0.943746318959999,0,2.0,2,2,False,3,3,0.0824392522506125,13,13,georgia,16.0,42,40,2,"5,458",Competitive
21,2,1,True,1.0,False,False,False,True,False,3.0,2,,1,3,54,,False,1,2,1.35575914042,0,2.0,2,1,False,1,1,0.5495360081520232,42,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
22,2,1,True,2.0,False,False,False,True,True,2.0,1,,2,7,45,,False,1,1,0.52431693012,0,1.0,2,1,True,3,1,0.5037137742113332,9,9,connecticut,7.0,51,32,19,"2,020",Solid Dem
32,2,2,True,1.0,False,False,False,True,True,1.0,3,2.0,3,5,61,,False,1,1,0.83531035985,0,3.0,3,1,True,3,3,0.4972405472879573,37,37,north carolina,16.0,44,39,5,"5,774",Competitive
39,2,2,True,1.0,True,False,True,False,True,1.0,1,,2,7,67,,False,1,1,0.56376920922,1,1.0,3,1,True,3,1,0.4972405472879573,23,23,maine,4.0,47,39,8,941,Lean Dem
48,2,3,True,1.0,True,False,True,False,True,3.0,1,,4,3,31,,False,1,1,1.34706982992,1,1.0,1,1,True,1,4,0.6185869523930181,4,4,arizona,11.0,40,42,-2,"3,669",Competitive
49,2,1,True,1.0,False,False,False,True,False,3.0,2,,2,8,47,,False,1,2,0.606233761579999,0,2.0,2,1,False,3,1,0.4054132029426701,9,9,connecticut,7.0,51,32,19,"2,020",Solid Dem
55,2,3,True,2.0,False,False,False,False,False,2.0,3,2.0,2,9,99,1.0,False,3,1,1.77608392945,0,3.0,3,3,True,3,3,0.2978857680526245,37,37,north carolina,16.0,44,39,5,"5,774",Competitive
57,2,2,True,1.0,True,False,True,False,False,9.0,1,,4,7,99,3.0,False,1,1,0.53825945394,1,1.0,3,1,True,3,3,0.4972405472879573,13,13,georgia,16.0,42,40,2,"5,458",Competitive
59,2,2,True,2.0,False,False,False,True,False,3.0,4,2.0,3,7,61,,False,1,2,0.584205082100002,0,2.0,3,1,False,3,3,0.3991029868932533,24,24,maryland,10.0,56,28,28,"3,193",Solid Dem
63,2,2,True,1.0,False,False,False,True,True,1.0,3,1.0,3,8,70,,False,1,2,0.584205082100002,0,3.0,3,1,False,3,1,0.3991029868932533,33,33,new hampshire,4.0,43,40,3,831,Competitive
68,2,1,True,2.0,False,False,False,True,False,1.0,3,2.0,3,3,37,,False,1,1,1.0426776167,0,3.0,2,1,True,1,3,0.6443480722097228,12,12,florida,30.0,42,39,3,"11,094",Competitive
74,2,2,True,1.0,False,False,True,False,True,3.0,1,,2,5,72,,False,1,1,0.939364449780002,1,1.0,3,1,True,3,1,0.4972405472879573,36,36,new york,28.0,52,29,23,"10,864",Solid Dem
81,2,2,True,1.0,False,False,False,True,False,1.0,3,3.0,1,7,99,3.0,False,1,1,0.50132007965,0,3.0,3,1,True,3,3,0.4972405472879573,12,12,florida,30.0,42,39,3,"11,094",Competitive
82,2,2,True,1.0,False,True,False,True,True,1.0,2,,1,8,41,,False,5,2,1.31190761988,0,2.0,2,9,False,3,3,0.4866645765449057,37,37,north carolina,16.0,44,39,5,"5,774",Competitive
93,2,2,True,1.0,True,False,True,False,True,1.0,1,,3,1,89,,False,1,1,1.23952190814,1,1.0,3,1,True,1,3,0.6385638532385712,13,13,georgia,16.0,42,40,2,"5,458",Competitive
