RESPID	PHTYPE	Q1	Q2	Q3	Q4	Q5	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7	Q8	Q9	Q9A.1	Q9A.2	Q9A.3	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	QD1	Q11	Q12	Q12B	Q13	Q14	Q15	Q16	Q17	Q18	Q19	QD2	QD2A	QD3	QD4	QD5	QD5A	QD6	QD7	QD8	QD9	QD10	QD11	FINALWGT
11	2	9	1	20	2	2	1	9	1	2	2	9	1	1	2				2	2	2	2	2	2	2	1	1	9	9	5	5	2	3	3	3	1	9	1	4	5	53		2	2	1	4	1	24	0.879980144
14	2	1	1	29	2	2	1	1	1	3	1	9	1	1	3				2	2	2	2	2	2	1	1	1	1		1	3	1	1	2	1	1	3	1	5	5	28		1	2	1	2	1	34	1.089499225
19	2	1	1	28	3	1	1	1	1	2	1	1	1	1	2				2	2	2	2	2	1	1	1	1	1		1	3	1	1	2	1	1	1		3	7	75		2	2	1	3	1	37	0.52027335264
30	2	2	2	20	1	3	1	2	1	1	1	3	1	1	1	9			2	2	2	2	2	1	1	1	1	2		4	1	1	1	2	3	2	2		3	7	63		2	2	1	2	2	37	0.573838917
43	2	9	9	20	1	2	2	3	3	1	2	9	3	3	1	4			1	1	2	2	2	2	1	1	1	8	1	2	1	3	2	2	1	1	4	1	4	7	47		1	2	5	9	2	13	0.972233618
44	2	1	1	20	2	1	1	1	1	1	1	9	1	1	2				2	2	2	2	2	2	1	1	1	1		1	3	1	3	2	1	1	3	1	3	7	65		2	2	1	4	1	45	0.517684928
47	2	1	1	1	3	2	1	9	9	2	2	2	3	3	3				2	2	2	2	1	1	2	1	2	1		2	3	3	2	1	3	9	4	1	4	3	50		1	2	1	1	1	42	1.488708791
52	2	2	2	20	1	2	2	2	1	1	3	2	3	1	1	1	8		2	2	2	2	2	1	1	1	1	2		4	2	3	1	2	3	2	2		1	8	31		2	2	1	3	1	34	0.628926985
60	2	1	1	20	2	2	1	1	1	3	1	1	1	1	1	2			2	1	2	2	1	1	1	1	1	1		2	3	3	3	1	2	1	1		4	6	48		2	2	1	3	2	39	1.08035841549
65	1	1	1	20	2	1	1	1	1	1	1	2	1	1	1	4	6		1	1	2	2	2	1	2	1	1	1		1	4	1	1	3	1	1	3	1	5	6	25		1	2	1	3	1	9	1.089499225
72	2	2	2	20	2	3	3	2	1	1	1	1	3	1	1	1			1	1	2	2	2	1	1	1	1	2		4	1	2	3	3	3	2	2		2	8	26		2	2	1	1	1	36	0.628926985
73	2	2	2	20	1	4	2	2	3	1	2	3	3	3	1	10	6		2	2	1	2	1	1	1	1	1	2		4	2	4	2	2	2	2	2		1	8	36		1	2	1	4	2	6	0.460296464
74	1	1	1	20	1	2	1	1	1	2	2	2	1	3	2				2	2	2	2	2	1	1	1	1	1		1	4	1	1	2	1	1	1		5	7	70		2	2	1	3	1	37	0.52027335264
77	1	2	2	13	3	3	1	1	1	1	1	1	1	1	3				2	2	2	1	2	1	2	1	1	2		4	1	3	3	2	3	2	2		2	3	87		2	2	1	1	2	42	1.154740286
78	2	2	3	2	3	2	1	2	2	2	2	2	1	1	1	1	14		1	2	2	2	2	1	1	2				3	3	3	2	2	3	2	3	2	1	8	25		2	1	1	3	1	36	1.178210929
81	2	1	9	8	1	9	2	1	3	2	2	2	2	2	1	2			2	1	2	9	2	2	9	1	4	8	1	3	2	9	3	2	1	1	9	9	3	2	29		1	2	1	4	1	36	1.851177741
