age_recoded,race_recoded,male,education_recoded,STATEFIP,mrp_subgroup_estimate,mrp_subgroup_estimate_se
1,1,0,1,26,0.5674233771638546,0.044625083986920146
3,3,0,3,6,0.21849234577254073,0.03354322779141088
3,3,1,1,6,0.44840181570214815,0.05066822874277865
3,1,1,3,47,0.7110559464867943,0.03315259786569209
3,1,1,1,36,0.648018436989131,0.029399506068090376
3,1,0,3,4,0.5429800425329959,0.03559988554582621
2,1,0,3,53,0.4325663273253265,0.03688008028978929
3,1,1,3,53,0.5524002273565809,0.03603893148400535
3,1,0,1,6,0.5537610280562596,0.028742831367010814
3,3,0,3,15,0.22550387022773077,0.04062484492736106
2,1,1,3,21,0.6377010459343936,0.034949227991612215
3,3,1,3,6,0.3022906918397708,0.04064634899016804
3,1,0,3,4,0.5429800425329959,0.03559988554582621
2,1,0,3,24,0.34566891249437975,0.035156518229868
1,1,0,3,25,0.23213159810642284,0.031223577939469945
3,1,1,3,48,0.6715285962791177,0.02171737850722317
2,1,0,3,42,0.4563772818637015,0.03837032481475555
3,1,0,3,15,0.4064508155199824,0.04044821333923245
3,1,1,3,27,0.5522068104738804,0.03892937831339075
3,1,1,3,48,0.6715285962791177,0.02171737850722317
3,1,1,3,53,0.5524002273565809,0.03603893148400535
2,3,1,3,6,0.2934584142684107,0.04064345613203187
3,1,0,3,48,0.5681976603600241,0.024601653411478776
3,1,1,3,6,0.5059040931109166,0.024587090181323636
3,1,1,3,34,0.5351936576690318,0.03438009119736485
3,2,0,3,47,0.10636650794371239,0.02129542596398148
3,1,0,3,29,0.615165667287044,0.048597528843545276
2,1,1,3,39,0.6517080761600457,0.027627531613840857
1,1,1,3,6,0.38240453595270724,0.02786624624034315
2,1,0,3,25,0.32344250178685685,0.03573622347273803
3,1,1,3,12,0.6468780253880814,0.0254916671648274
1,1,1,3,36,0.3718511609641177,0.029852766871009916
2,1,0,3,26,0.5250440978262715,0.03961082499706414
3,1,0,1,51,0.7030797812670604,0.03473826254862468
3,2,0,3,13,0.08791719462650725,0.017218587891363133
1,4,0,3,12,0.27679881781731425,0.028651604032629046
2,1,0,1,18,0.6915855796629662,0.03122166636801392
3,1,0,1,55,0.6766850810836416,0.03115291274687133
3,1,0,3,42,0.46696126175360353,0.03852931882793535
3,4,0,3,48,0.41356556122231275,0.03186006855270914
3,3,1,3,6,0.3022906918397708,0.04064634899016804
2,4,1,3,6,0.3446990784504501,0.029486971984202213
3,3,1,3,46,0.5161809667347421,0.06614248660970891
3,4,0,3,6,0.2612254308297653,0.02564018175876167
3,2,0,3,36,0.044877476351561106,0.008483702252096822
3,4,1,3,37,0.47112563175121847,0.042070081002209554
3,2,0,1,6,0.08473715694106125,0.015342585191655884
3,3,1,3,8,0.4283141510183612,0.060148487534758176
3,1,0,1,13,0.7076982817805036,0.031659445749374536
3,2,1,3,39,0.12725376597852148,0.02262006461845981
2,4,1,1,6,0.4973753257533356,0.0376331996720388
3,9,0,3,53,0.36924999641779566,0.05307580106374267
3,2,0,3,9,0.0481565388966409,0.010048286374760258
1,2,1,3,36,0.04229227938831229,0.008226341972441042
2,2,0,1,22,0.15132652246995537,0.0276929671536971
3,2,1,1,28,0.29217470107720694,0.05895599301665561
3,3,0,3,48,0.35746721001525034,0.04643135549123676
2,4,1,3,12,0.48469513043389173,0.036546333486105594
2,3,1,3,6,0.2934584142684107,0.04064345613203187
3,3,1,3,53,0.3434014434044226,0.04998774687708814
3,3,1,3,6,0.3022906918397708,0.04064634899016804
3,3,1,3,6,0.3022906918397708,0.04064634899016804
3,4,1,3,53,0.39863958389850135,0.043014804570262154
3,3,1,3,6,0.3022906918397708,0.04064634899016804
3,4,0,3,15,0.2691316191688833,0.03702609957128087
3,4,1,3,12,0.49534663074785906,0.03750479546615808
3,3,1,3,51,0.45261251305205163,0.05830846209664329
3,4,0,3,35,0.3026976199281943,0.0392274025691589
2,3,0,3,6,0.21141251546662132,0.033630468766984875
3,4,1,3,12,0.49534663074785906,0.03750479546615808
3,9,1,3,15,0.43821261695806824,0.05852356306301514
3,4,1,3,35,0.4022003922308094,0.04468169454133299
3,3,1,3,36,0.2930523672331157,0.042074988596627984
3,3,1,3,32,0.4198436808956766,0.05469475861343985
3,1,1,3,19,0.629692629807029,0.034383802492425876
2,2,1,3,48,0.12727825489906097,0.021020611173720765
3,3,1,3,32,0.4198436808956766,0.05469475861343985
2,3,0,3,6,0.21141251546662132,0.033630468766984875
2,3,1,3,6,0.2934584142684107,0.04064345613203187
1,9,0,3,12,0.3443650864686981,0.04881888522680526
3,4,0,3,9,0.26657762892169284,0.03366258807840367
3,9,1,3,22,0.5997616251107145,0.05549178675840076
1,2,1,1,22,0.14883965753121364,0.027682361755366324
3,2,0,3,4,0.08166099241666083,0.016000106741569233
3,3,0,3,48,0.35746721001525034,0.04643135549123676
3,3,0,3,36,0.21108011877735014,0.03433439947576755
2,3,1,3,4,0.4275888727462988,0.05535974486903792
3,3,1,3,24,0.26646653625680455,0.04473521119717101
2,2,1,3,37,0.10628607305128428,0.019452966207845934
3,3,1,3,6,0.3022906918397708,0.04064634899016804
3,3,1,3,15,0.31064673534167025,0.04924878480439904
3,3,0,3,34,0.23962391771288982,0.040058102056543254
3,3,1,3,6,0.3022906918397708,0.04064634899016804
1,3,1,3,6,0.208079962451598,0.03328468822931584
3,9,1,3,33,0.5456463597388695,0.05840551619522103
3,2,0,3,26,0.07971217578124533,0.01697941825286715
2,4,0,3,12,0.377399418858026,0.0337542312438988
3,2,0,1,45,0.18356793723683806,0.03500569161351052
3,3,1,3,6,0.3022906918397708,0.04064634899016804
3,1,0,3,12,0.5411824529187362,0.02735935515931104
3,4,1,3,12,0.49534663074785906,0.03750479546615808
3,3,0,3,53,0.2525594349139275,0.04234985892150048
3,4,1,3,47,0.5689234718724333,0.0478957594997593
3,9,0,1,6,0.4763960659141145,0.0517864583268062
3,2,0,1,13,0.1534599903037622,0.02787123923263792
3,3,1,3,15,0.31064673534167025,0.04924878480439904
3,9,1,3,6,0.42904937407674254,0.048443767828089776
2,2,0,1,37,0.12604610055895202,0.023136907625243532
3,2,0,3,13,0.08791719462650725,0.017218587891363133
3,3,1,3,6,0.3022906918397708,0.04064634899016804
2,4,1,3,36,0.3347300777131635,0.03281012280655299
3,3,1,3,48,0.4627702916116481,0.049569568788852686
3,4,1,3,48,0.5225917815252262,0.03358619400569074
1,4,0,3,17,0.19448121784564837,0.02400922443568297
3,9,1,3,12,0.5724426351032945,0.05078350630668712
3,3,1,3,15,0.31064673534167025,0.04924878480439904
3,1,0,3,1,0.642289601241161,0.03748123806787211
3,2,0,3,6,0.04681037590186232,0.008552438818632933
3,3,1,3,48,0.4627702916116481,0.049569568788852686
1,2,0,1,51,0.0972268952866539,0.020029777655591656
3,3,1,3,17,0.3282511209633707,0.046066857326414565
3,4,1,3,46,0.575278476595104,0.05567995634311501
2,2,0,1,13,0.14810172301696717,0.02766192451159304
3,3,1,3,15,0.31064673534167025,0.04924878480439904
3,2,0,3,6,0.04681037590186232,0.008552438818632933
2,3,0,3,12,0.3237391502115151,0.04640617676262609
3,4,0,3,48,0.41356556122231275,0.03186006855270914
3,4,1,3,48,0.5225917815252262,0.03358619400569074
3,3,0,1,15,0.35303437532170373,0.05447957120268543
3,2,0,3,48,0.08927271431463728,0.015467692516800968
3,3,1,3,6,0.3022906918397708,0.04064634899016804
3,1,1,3,48,0.6715285962791177,0.02171737850722317
2,3,0,3,48,0.3478493890689304,0.046739349646444016
3,1,0,3,46,0.619441572657791,0.046044420480980765
3,3,0,3,48,0.35746721001525034,0.04643135549123676
3,3,0,3,34,0.23962391771288982,0.040058102056543254
3,3,0,3,34,0.23962391771288982,0.040058102056543254
3,2,0,3,48,0.08927271431463728,0.015467692516800968
3,3,1,3,6,0.3022906918397708,0.04064634899016804
2,1,1,3,48,0.6620244662005046,0.022403057416013814
3,3,1,1,25,0.3812274521030171,0.056210855006864686
2,4,1,3,12,0.48469513043389173,0.036546333486105594
3,3,0,3,6,0.21849234577254073,0.03354322779141088
3,4,1,3,6,0.35444055824972875,0.030941289303902022
3,3,1,3,48,0.4627702916116481,0.049569568788852686
2,2,0,1,5,0.20929712783465076,0.04647034151414927
3,3,1,3,6,0.3022906918397708,0.04064634899016804
1,2,0,1,40,0.11329434877943742,0.025810776230761393
1,3,0,3,25,0.1141214402003436,0.024368749092024734
1,1,0,1,51,0.5890846074908863,0.04314337664530051
1,3,1,3,49,0.4634357272159992,0.06821255569062311
2,1,0,1,12,0.6800759253053695,0.028845919096869566
1,1,0,3,26,0.41139307472781994,0.04208171525219224
1,1,1,3,37,0.501206981821462,0.0356754693720616
2,1,0,3,17,0.41601233218558537,0.0313201934633585
3,1,1,3,36,0.49459012452572754,0.027783071388908707
1,4,1,3,9,0.25443551118053603,0.03196967880261173
1,4,1,3,32,0.3574018192641433,0.03837190560701235
2,1,1,3,36,0.4839277879113441,0.02845226322741065
1,4,0,1,6,0.2870448927313934,0.028775727934093314
1,1,1,3,47,0.5983251747062317,0.040822445119454175
3,2,0,1,48,0.15577132716432296,0.02538766830190581
1,1,0,1,12,0.5729749257717822,0.03464800065130002
1,1,0,3,42,0.34675981357554,0.03865601246215115
2,1,0,3,6,0.38712601392393464,0.025600885440919513
2,1,1,1,46,0.8192871719417849,0.030660526738447824
1,1,0,3,12,0.4164053142156234,0.032547293187082146
2,9,1,3,12,0.5620364576317092,0.0512416993535779
2,1,1,3,53,0.5418392703658542,0.03635061276878406
3,4,0,3,6,0.2612254308297653,0.02564018175876167
1,2,0,3,23,0.049798117845036266,0.012576641243697636
3,4,1,3,53,0.39863958389850135,0.043014804570262154
1,1,0,3,53,0.32517488432124114,0.03584024148123148
1,9,0,3,32,0.3298146776934595,0.051741483040959324
1,2,0,3,37,0.04611492830094659,0.00919948606774285
1,1,1,3,6,0.38240453595270724,0.02786624624034315
3,9,1,3,48,0.5988052910367281,0.04847312783779796
2,4,0,1,37,0.5083511372730222,0.042991495841522974
1,9,0,3,6,0.22743972642508212,0.03676114135323609
2,1,1,3,12,0.6370394105689393,0.026609527595872172
1,1,0,1,42,0.4991817135068554,0.04427753515311821
2,1,1,3,39,0.6517080761600457,0.027627531613840857
3,3,0,3,12,0.33300383068579953,0.04599918530788022
1,1,0,3,29,0.49241513473853815,0.05463871371932034
2,1,0,1,17,0.5725939571905321,0.03548149912237388
3,2,1,3,37,0.11040950669710602,0.02014104972480775
3,1,1,3,48,0.6715285962791177,0.02171737850722317
2,2,1,3,22,0.12821728696550005,0.023556418595195788
1,3,0,3,6,0.1449755925060526,0.02589150025168393
2,2,1,1,40,0.2381240892752885,0.04587373069008762
1,4,0,3,6,0.17610113002584163,0.018923600567322518
1,3,0,1,19,0.34615146688043374,0.05574602334801199
1,1,1,1,15,0.5469675937628516,0.046943079930842166
1,3,0,3,32,0.2213322819156174,0.04089118292876882
1,2,1,3,6,0.04412177752181118,0.008332571464075029
1,4,0,3,48,0.2990033639462751,0.027034279217794763
2,1,1,3,17,0.525132551625268,0.03155492789966261
1,3,0,3,25,0.1141214402003436,0.024368749092024734
3,3,1,3,6,0.3022906918397708,0.04064634899016804
2,4,0,3,6,0.2530498662647029,0.02475059580169418
2,2,1,3,17,0.07631448613103674,0.014529710594215355
1,4,0,3,17,0.19448121784564837,0.02400922443568297
1,3,1,3,19,0.30419151843877185,0.04986442901257372
1,4,0,1,6,0.2870448927313934,0.028775727934093314
1,4,1,1,49,0.6719681905233114,0.05165659043073435
1,3,0,3,47,0.29012447720867424,0.05059796936372528
3,2,0,3,4,0.08166099241666083,0.016000106741569233
1,3,0,1,6,0.24171139218227983,0.03978836038511005
1,4,0,3,31,0.3420498937283662,0.046249661623796456
2,9,1,3,13,0.5833367819381071,0.0570708800055564
1,4,0,1,6,0.2870448927313934,0.028775727934093314
3,2,0,3,34,0.05260121532973981,0.010892804345374374
1,4,0,3,53,0.2055703704946024,0.02845304763627228
1,4,0,3,48,0.2990033639462751,0.027034279217794763
2,2,0,1,48,0.15032960178944524,0.025264951537485474
1,3,0,3,34,0.16052855212695022,0.030658324539050995
1,2,0,3,6,0.02885725355424432,0.005621272025166995
1,4,0,3,6,0.17610113002584163,0.018923600567322518
2,4,0,1,48,0.5596534155194295,0.0347940251371319
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,3,1,3,37,0.29894537983657044,0.047260611004909914
1,4,0,3,53,0.2055703704946024,0.02845304763627228
2,1,0,3,18,0.5439840045663433,0.0330657170588233
3,4,1,3,48,0.5225917815252262,0.03358619400569074
1,4,1,3,48,0.39838901386158454,0.03046076597984344
1,4,0,3,48,0.2990033639462751,0.027034279217794763
2,4,0,1,48,0.5596534155194295,0.0347940251371319
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,2,0,3,22,0.05648142806287025,0.01159687085945346
1,4,1,3,48,0.39838901386158454,0.03046076597984344
3,2,1,3,32,0.1136430378509811,0.02196910923776767
2,2,1,3,48,0.12727825489906097,0.021020611173720765
1,2,1,3,48,0.08436597721124359,0.015153909772836175
2,2,0,3,48,0.08586744943767295,0.014976662505033378
2,1,0,3,48,0.5576738570574721,0.02604342851973363
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,2,0,3,47,0.06722441017558159,0.014432088078689915
2,2,1,1,48,0.21538452239228514,0.03359276046920288
1,1,0,3,4,0.4184105755707311,0.039118573077568365
2,2,0,3,48,0.08586744943767295,0.014976662505033378
1,4,0,1,6,0.2870448927313934,0.028775727934093314
1,2,0,1,48,0.10053128280495206,0.018196092363132237
1,4,1,1,24,0.343416334039567,0.04212657843163493
2,4,1,1,48,0.6635264574150207,0.03250826689565405
2,4,1,1,48,0.6635264574150207,0.03250826689565405
1,4,1,3,48,0.39838901386158454,0.03046076597984344
2,4,1,3,48,0.5119521913650389,0.03213884255349188
1,2,0,3,47,0.06722441017558159,0.014432088078689915
2,4,1,1,6,0.4973753257533356,0.0376331996720388
2,9,1,3,48,0.5885852072369855,0.04878265447478327
2,4,1,3,48,0.5119521913650389,0.03213884255349188
1,2,0,1,48,0.10053128280495206,0.018196092363132237
1,4,0,3,48,0.2990033639462751,0.027034279217794763
2,2,1,3,48,0.12727825489906097,0.021020611173720765
1,4,1,3,48,0.39838901386158454,0.03046076597984344
1,1,0,3,1,0.520933720574662,0.044096034936505595
1,2,0,3,48,0.05601421572306289,0.010518634699664754
1,4,0,1,48,0.44524724397890714,0.03349372222107484
1,1,0,1,6,0.4288104305741218,0.03373376911910537
1,2,1,3,6,0.04412177752181118,0.008332571464075029
1,4,0,1,6,0.2870448927313934,0.028775727934093314
1,2,1,1,48,0.14784277475364244,0.02532266199033384
1,2,0,3,48,0.05601421572306289,0.010518634699664754
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,4,0,3,48,0.2990033639462751,0.027034279217794763
2,4,1,3,48,0.5119521913650389,0.03213884255349188
3,1,1,3,48,0.6715285962791177,0.02171737850722317
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,4,0,1,48,0.44524724397890714,0.03349372222107484
2,3,0,3,12,0.3237391502115151,0.04640617676262609
3,2,0,3,17,0.05257133603745471,0.010198871481610944
2,2,0,3,48,0.08586744943767295,0.014976662505033378
1,2,0,3,48,0.05601421572306289,0.010518634699664754
1,4,0,3,17,0.19448121784564837,0.02400922443568297
1,4,0,1,48,0.44524724397890714,0.03349372222107484
1,2,0,3,36,0.027640510085822138,0.005526323491799388
1,4,1,3,48,0.39838901386158454,0.03046076597984344
1,4,1,3,48,0.39838901386158454,0.03046076597984344
1,9,1,3,6,0.31318915519382085,0.04419847716145938
1,4,0,1,22,0.4467346153015986,0.04385700959746143
2,2,0,3,48,0.08586744943767295,0.014976662505033378
1,9,0,3,48,0.36918427721778235,0.04931771885559823
2,9,1,1,40,0.7505166785935681,0.051323335055677856
2,2,1,3,37,0.10628607305128428,0.019452966207845934
1,3,0,3,6,0.1449755925060526,0.02589150025168393
1,9,1,1,36,0.4498150221560831,0.05542091985437581
1,3,0,3,6,0.1449755925060526,0.02589150025168393
2,4,0,3,48,0.40324569996922593,0.030848873654379497
3,2,0,1,48,0.15577132716432296,0.02538766830190581
1,4,0,3,48,0.2990033639462751,0.027034279217794763
1,2,1,3,27,0.053146385330631284,0.012082821831362054
1,2,1,3,6,0.04412177752181118,0.008332571464075029
1,9,0,3,48,0.36918427721778235,0.04931771885559823
2,1,0,3,25,0.32344250178685685,0.03573622347273803
2,2,0,3,48,0.08586744943767295,0.014976662505033378
2,3,1,3,48,0.4522686169356613,0.04993693780599543
1,1,1,3,17,0.411163592750286,0.032959486418748594
2,2,1,3,40,0.14275045326941807,0.030126498826596994
1,4,0,3,17,0.19448121784564837,0.02400922443568297
3,4,1,3,48,0.5225917815252262,0.03358619400569074
2,2,0,3,48,0.08586744943767295,0.014976662505033378
