age_recoded,race_recoded,male,education_recoded,STATEFIP,mrp_subgroup_estimate,mrp_subgroup_estimate_se
1,1,1,1,1,0.724678870965556,0.028241370573147198
1,1,1,1,2,0.7270285576994119,0.03112534110124815
1,1,1,1,4,0.6595674003493716,0.02675275040376658
1,1,1,1,5,0.694327376271944,0.03535955001504445
1,1,1,1,6,0.5027872720519646,0.024289915069881592
1,1,1,1,8,0.6137980190586444,0.03370167841642172
1,1,1,1,9,0.5122488766709778,0.032863769657344284
1,1,1,1,10,0.5667239614728686,0.03966455835148971
1,1,1,1,11,0.32485150703964083,0.06463147651363296
1,1,1,1,12,0.6441135235563773,0.02215165693418468
1,1,1,1,13,0.6658394543663606,0.027942224988845663
1,1,1,1,15,0.514972046652623,0.038773412636902635
1,1,1,1,16,0.7319901134366265,0.028999449328212416
1,1,1,1,17,0.5340510268529571,0.02770316198839168
1,1,1,1,18,0.6408151908610321,0.026222408033758027
1,1,1,1,19,0.6391820512107738,0.03122631116342771
1,1,1,1,20,0.6935703985233894,0.031124490104058874
1,1,1,1,21,0.6548198842656339,0.028348032109673748
1,1,1,1,22,0.6686666602064267,0.028844649920840536
1,1,1,1,23,0.6007097596027182,0.038635035940465356
1,1,1,1,24,0.4758791845215058,0.034020950762511194
1,1,1,1,25,0.44040294893597165,0.0325939655295805
1,1,1,1,26,0.6114019747254753,0.029358145687829056
1,1,1,1,27,0.548805899492248,0.03510059536715994
1,1,1,1,28,0.6803140598101365,0.03553929329827016
1,1,1,1,29,0.644126876191385,0.0345477116157585
1,1,1,1,30,0.6944231424204997,0.034738724129870543
1,1,1,1,31,0.685651631681376,0.03391630409792895
1,1,1,1,32,0.6159507576026512,0.03362460003424269
1,1,1,1,33,0.6315430350358908,0.032438303747633776
1,1,1,1,34,0.5388535782327709,0.029413241628632594
1,1,1,1,35,0.5579606907778694,0.03596665239715995
1,1,1,1,36,0.4915577056127234,0.02442711342050844
1,1,1,1,37,0.6246428316551944,0.026926199112178164
1,1,1,1,38,0.7388563145416075,0.03571933391586517
1,1,1,1,39,0.6567103441148201,0.023729337819487828
1,1,1,1,40,0.6824285740844117,0.030327208195422534
1,1,1,1,41,0.5533559404237304,0.033555376205672824
1,1,1,1,42,0.5788039753617791,0.028554971770887852
1,1,1,1,44,0.5249839220870286,0.04321736960439238
1,1,1,1,45,0.6999775701484384,0.028776291888944375
1,1,1,1,46,0.6876020965008924,0.03605052973744838
1,1,1,1,47,0.6833522436878091,0.02622810499864105
1,1,1,1,48,0.6485575337493932,0.020858345367779224
1,1,1,1,49,0.736129453744389,0.031227654852454916
1,1,1,1,50,0.4950042589245971,0.0381428729260665
1,1,1,1,51,0.631565088776502,0.030295889461635202
1,1,1,1,53,0.5377975777867722,0.0302664193076923
1,1,1,1,54,0.677762430798428,0.031180511017463615
1,1,1,1,55,0.6292480935397678,0.02726741338446649
1,1,1,1,56,0.746172608258569,0.03499207306866829
1,1,1,3,1,0.6422809454188009,0.031873331864014996
1,1,1,3,2,0.645075715896434,0.03510653685177296
1,1,1,3,4,0.5691490014105152,0.028986739173626472
1,1,1,3,5,0.6079345089253994,0.03922832838288331
1,1,1,3,6,0.40796776262940254,0.021784990488406136
1,1,1,3,8,0.5202225884054397,0.034725147184620025
1,1,1,3,9,0.41733320941487717,0.03101446864307356
1,1,1,3,10,0.47170377893290477,0.03939795164826562
1,1,1,3,11,0.24799407054212552,0.054862707926134915
1,1,1,3,12,0.5522772625514919,0.022559308183361815
1,1,1,3,13,0.5760597099694421,0.029967432133774525
1,1,1,3,15,0.4201437818667891,0.036899112650362
1,1,1,3,16,0.6507575063378206,0.03283855240656619
1,1,1,3,17,0.43862357517350553,0.026307484995677127
1,1,1,3,18,0.5488046437694595,0.027406159011594478
1,1,1,3,19,0.5471727703200512,0.03265505662197444
1,1,1,3,20,0.6069512855476101,0.03419505552452386
1,1,1,3,21,0.5640113438219678,0.030400872389050992
1,1,1,3,22,0.5791933463432725,0.030911362928449294
1,1,1,3,23,0.5066477580017655,0.039521453672533874
1,1,1,3,24,0.3824346616445431,0.031427096028576594
1,1,1,3,25,0.3492508049395235,0.02933591532788362
1,1,1,3,26,0.5175852178876268,0.030187305247982896
1,1,1,3,27,0.45348769613037154,0.03399146093167632
1,1,1,3,28,0.592263750610953,0.039181253181937534
1,1,1,3,29,0.5526012810182487,0.03611295269519511
1,1,1,3,30,0.608018452100814,0.0386040397480621
1,1,1,3,31,0.598171313273102,0.03676693222850966
1,1,1,3,32,0.5224863178386646,0.03473935021187741
1,1,1,3,33,0.5390167766378746,0.033839544894737394
1,1,1,3,34,0.44342181870346015,0.028097502694402834
1,1,1,3,35,0.4627198851044197,0.03556027064686702
1,1,1,3,36,0.39717261926417574,0.022209113811985995
1,1,1,3,37,0.531527009949047,0.027524153385234857
1,1,1,3,38,0.6589447891724037,0.04084457678757336
1,1,1,3,39,0.56596426189025,0.025494558637617303
1,1,1,3,40,0.5944597342391079,0.03325295651439951
1,1,1,3,41,0.45801655732278707,0.03289896363118233
1,1,1,3,42,0.48372358802536247,0.02877251651006413
1,1,1,3,44,0.43008693733990566,0.04149994580506561
1,1,1,3,45,0.6141068132377238,0.03185817224776615
1,1,1,3,46,0.6004081034684547,0.03964887475652697
1,1,1,3,47,0.595390573672268,0.028402227679321056
1,1,1,3,48,0.557058118602113,0.021235637756556194
1,1,1,3,49,0.6556100822360008,0.036031940604785435
1,1,1,3,50,0.4007799797967408,0.035455208685106154
1,1,1,3,51,0.5389837394809197,0.031513978369072146
1,1,1,3,53,0.4423918503141107,0.028980485757549808
1,1,1,3,54,0.5892982770152133,0.03425287925217039
1,1,1,3,55,0.5364313322999551,0.028574589361458992
1,1,1,3,56,0.6674870704194308,0.04022627306924985
1,1,0,1,1,0.659082107313807,0.030521233695245842
1,1,0,1,2,0.6617634519287053,0.03450127712626663
1,1,0,1,4,0.587177056076627,0.028074519593928975
1,1,0,1,5,0.6253588584837638,0.037969745858418
1,1,0,1,6,0.42596321899040424,0.022910200949758295
1,1,0,1,8,0.5386007831916177,0.034490024099504246
1,1,0,1,9,0.4354021878368418,0.03189459912168136
1,1,0,1,10,0.4900893182407156,0.04022839375180051
1,1,0,1,11,0.2618365203699952,0.05673427982572602
1,1,0,1,12,0.5704856993411801,0.022727477548374467
1,1,0,1,13,0.5939921320441057,0.029346053839944028
1,1,0,1,15,0.4382087136126387,0.03758461110297297
1,1,0,1,16,0.6673238835703994,0.03237578764291862
1,1,0,1,17,0.4568986284533204,0.026677981568850963
1,1,0,1,18,0.5670321790399352,0.02689417783415711
1,1,0,1,19,0.5653896183478666,0.03258238042326692
