STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,prop
1,1,1,False,1,327170.0,0.0012916481671041914
1,1,1,False,3,1916.0,7.56425677223349e-06
1,1,1,True,1,330345.0,0.0013041828827888686
1,1,1,True,3,2014.0,7.95115508313061e-06
1,1,2,False,1,171855.0,0.0006784735634614751
1,1,2,False,3,1259.0,4.970458912443613e-06
1,1,2,True,1,158247.0,0.0006247499694340465
1,1,2,True,3,1646.0,6.498312446292445e-06
1,1,3,False,1,8211.0,3.241655133445156e-05
1,1,3,False,3,132.0,5.211283371267331e-07
1,1,3,True,1,8538.0,3.37075283514246e-05
1,1,3,True,3,156.0,6.158789438770482e-07
1,1,4,False,1,24213.0,9.559151838522415e-05
1,1,4,False,3,1141.0,4.504601762587897e-06
1,1,4,True,1,28333.0,0.00011185703921069491
1,1,4,True,3,1409.0,5.562650204633083e-06
1,1,9,False,1,14535.0,5.738333621315959e-05
1,1,9,False,3,145.0,5.724515824498205e-07
1,1,9,True,1,15344.0,6.057722124903479e-05
1,1,9,True,3,11.0,4.342736142722776e-08
1,2,1,False,1,401522.0,0.0015851855468166677
1,2,1,False,3,3121.0,1.2321526819488894e-05
1,2,1,True,1,393844.0,0.0015548732485404625
1,2,1,True,3,3820.0,1.508113824109182e-05
1,2,2,False,1,175374.0,0.0006923663711762401
1,2,2,False,3,2353.0,9.28950740347881e-06
1,2,2,True,1,141553.0,0.0005588430265553064
1,2,2,True,3,1925.0,7.599788249764858e-06
1,2,3,False,1,10918.0,4.310363018749751e-05
1,2,3,False,3,638.0,2.51878696277921e-06
1,2,3,True,1,9568.0,3.7773908557792286e-05
1,2,3,True,3,281.0,1.1093716873682728e-06
1,2,4,False,1,21378.0,8.439910296284318e-05
1,2,4,False,3,2998.0,1.1835929959893529e-05
1,2,4,True,1,24304.0,9.595078110248577e-05
1,2,4,True,3,3665.0,1.4469207239162703e-05
1,2,9,False,1,13235.0,5.225101168085085e-05
1,2,9,False,3,189.0,7.461610281587315e-07
1,2,9,True,1,11414.0,4.506180939367069e-05
1,2,9,True,3,162.0,6.39566595564627e-07
1,3,1,False,1,584005.0,0.0023056178373007407
1,3,1,False,3,7250.0,2.8622579122491022e-05
1,3,1,True,1,499159.0,0.0019706507547866893
1,3,1,True,3,8039.0,3.173750531940763e-05
1,3,2,False,1,179885.0,0.0007101755373033514
1,3,2,False,3,4482.0,1.7694675810621346e-05
1,3,2,True,1,133469.0,0.0005269278638482419
1,3,2,True,3,4008.0,1.5823351327302622e-05
1,3,3,False,1,8162.0,3.2223102179003e-05
1,3,3,False,3,899.0,3.5491998111888868e-06
1,3,3,True,1,5002.0,1.974760562354484e-05
1,3,3,True,3,422.0,1.666031502026374e-06
1,3,4,False,1,10168.0,4.0142673726550165e-05
1,3,4,False,3,1071.0,4.228245826232812e-06
1,3,4,True,1,8696.0,3.433130317919751e-05
1,3,4,True,3,1337.0,5.2783983843821374e-06
1,3,9,False,1,14893.0,5.879669943051846e-05
1,3,9,False,3,158.0,6.237748277729078e-07
1,3,9,True,1,10115.0,3.9933432803309886e-05
1,3,9,True,3,252.0,9.948813708783085e-07
2,1,1,False,1,47024.0,0.00018564802215945074
2,1,1,False,3,330.0,1.3028208428168327e-06
2,1,1,True,1,58181.0,0.00022969521047250347
2,1,1,True,3,183.0,7.224733764711527e-07
2,1,2,False,1,2633.0,1.0394931148899154e-05
2,1,2,True,1,4473.0,1.765914433308998e-05
2,1,3,False,1,7289.0,2.8776548858460285e-05
2,1,3,False,3,23.0,9.08026648023853e-08
2,1,3,True,1,7417.0,2.92818854277953e-05
2,1,4,False,1,6857.0,2.7071037936954612e-05
2,1,4,True,1,8856.0,3.4962973890866275e-05
2,1,9,False,1,21315.0,8.41503826201236e-05
2,1,9,False,3,59.0,2.3292857492785797e-07
2,1,9,True,1,22731.0,8.97406684183922e-05
2,1,9,True,3,87.0,3.4347094946989226e-07
2,2,1,False,1,53843.0,0.00021256903830238401
2,2,1,False,3,139.0,5.487639307622416e-07
2,2,1,True,1,62037.0,0.00024491847462372075
2,2,1,True,3,102.0,4.026900786888392e-07
2,2,2,False,1,2622.0,1.0351503787471925e-05
2,2,2,False,3,265.0,1.046204616201396e-06
2,2,2,True,1,3367.0,1.3292720538679624e-05
2,2,3,False,1,8118.0,3.2049392733294085e-05
2,2,3,False,3,283.0,1.1172675712641323e-06
2,2,3,True,1,6562.0,2.5906395062315322e-05
2,2,3,True,3,222.0,8.764431124404148e-07
2,2,4,False,1,6127.0,2.4189040314965862e-05
2,2,4,False,3,119.0,4.698050918036457e-07
2,2,4,True,1,6705.0,2.6470950760869284e-05
2,2,4,True,3,228.0,9.001307641279935e-07
2,2,9,False,1,17006.0,6.713870076649412e-05
2,2,9,False,3,26.0,1.026464906461747e-07
2,2,9,True,1,17274.0,6.819674920853929e-05
2,2,9,True,3,27.0,1.065944325941045e-07
2,3,1,False,1,62973.0,0.00024861374828698306
2,3,1,False,3,393.0,1.55154118553641e-06
2,3,1,True,1,68539.0,0.0002705879931691603
2,3,1,True,3,263.0,1.0383087323055364e-06
2,3,2,False,1,2196.0,8.669680517653833e-06
2,3,2,False,3,35.0,1.3817796817754287e-07
2,3,2,True,1,2223.0,8.776274950247937e-06
2,3,2,True,3,24.0,9.475060675031511e-08
2,3,3,False,1,6458.0,2.5495809099730624e-05
2,3,3,False,3,201.0,7.935363315338891e-07
2,3,3,True,1,5019.0,1.9814720636659646e-05
2,3,3,True,3,101.0,3.987421367409094e-07
2,3,4,False,1,2931.0,1.1571417849382233e-05
2,3,4,False,3,236.0,9.317142997114319e-07
2,3,4,True,1,2501.0,9.87380281177242e-06
2,3,4,True,3,119.0,4.698050918036457e-07
2,3,9,False,1,13448.0,5.30919233157599e-05
2,3,9,False,3,420.0,1.6581356181305143e-06
2,3,9,True,1,12413.0,4.900580339965256e-05
2,3,9,True,3,386.0,1.5239055919009013e-06
4,1,1,False,1,358383.0,0.0014148752791249242
4,1,1,False,3,1898.0,7.493193817170753e-06
4,1,1,True,1,381824.0,0.0015074189863263465
4,1,1,True,3,2698.0,1.065154737551459e-05
4,1,2,False,1,38610.0,0.00015243003860956943
4,1,2,False,3,328.0,1.2949249589209732e-06
4,1,2,True,1,47683.0,0.00018824971590313647
4,1,2,True,3,385.0,1.5199576499529714e-06
4,1,3,False,1,32841.0,0.00012965436151196244
4,1,3,False,3,366.0,1.4449467529423054e-06
4,1,3,True,1,33381.0,0.00013178625016384453
4,1,3,True,3,241.0,9.514540094510809e-07
4,1,4,False,1,305464.0,0.0012059541391824273
4,1,4,False,3,4096.0,1.6170770218720443e-05
4,1,4,True,1,328419.0,0.0012965791465971558
4,1,4,True,3,5629.0,2.2222965224896824e-05
4,1,9,False,1,63779.0,0.00025179578949701445
4,1,9,False,3,366.0,1.4449467529423054e-06
4,1,9,True,1,65696.0,0.0002593639942111959
4,1,9,True,3,351.0,1.3857276237233584e-06
4,2,1,False,1,452978.0,0.0017883308476893433
4,2,1,False,3,2197.0,8.673628459601762e-06
4,2,1,True,1,460517.0,0.0018180943820347859
4,2,1,True,3,2720.0,1.0738402098369046e-05
4,2,2,False,1,38454.0,0.00015181415966569238
4,2,2,False,3,719.0,2.8385702605615235e-06
4,2,2,True,1,42574.0,0.00016807968049116314
4,2,2,True,3,432.0,1.705510921505672e-06
4,2,3,False,1,39537.0,0.00015608978079530034
4,2,3,False,3,1488.0,5.874537618519537e-06
4,2,3,True,1,35394.0,0.00013973345730502722
4,2,3,True,3,743.0,2.9333208673118385e-06
4,2,4,False,1,266423.0,0.0010518225375933002
4,2,4,False,3,10313.0,4.0715125308999985e-05
4,2,4,True,1,261732.0,0.0010333027419155614
4,2,4,True,3,14278.0,5.636871513254163e-05
4,2,9,False,1,54190.0,0.00021393897415831564
4,2,9,False,3,704.0,2.7793511313425764e-06
4,2,9,True,1,49996.0,0.00019738130562869808
4,2,9,True,3,807.0,3.1859891519793456e-06
4,3,1,False,1,837969.0,0.0033082529661647834
4,3,1,False,3,4994.0,1.9716022087961403e-05
4,3,1,True,1,745193.0,0.0029419787040036484
4,3,1,True,3,3990.0,1.5752288372239886e-05
4,3,2,False,1,30600.0,0.00012080702360665176
4,3,2,False,3,731.0,2.885945563936681e-06
4,3,2,True,1,29805.0,0.00011766840975804757
4,3,2,True,3,548.0,2.163472187465528e-06
4,3,3,False,1,29324.0,0.00011576944968109334
4,3,3,False,3,3000.0,1.1843825843789389e-05
4,3,3,True,1,19974.0,7.885619246794975e-05
4,3,3,True,3,1326.0,5.234971022954909e-06
