"","STATEFIP","male","race_recoded","education_recoded","age_recoded","mean","lower","upper"
"1","1","False","1","1","1",0.00181530287352301,0.00163152936348423,0.00200079074124809
"2","1","False","1","3","1",1.0672260581965e-05,7.61565351419848e-06,1.34587602785806e-05
"3","1","True","1","1","1",0.00169126327874281,0.00151630741610369,0.00186876143983302
"4","1","True","1","3","1",1.02070159265296e-05,7.10380641157202e-06,1.30865696565073e-05
"5","1","False","2","1","1",0.00119912168463833,0.00108321937236217,0.00130462237152488
"6","1","False","2","3","1",9.33786466146328e-06,7.2511496275768e-06,1.12594945040784e-05
"7","1","True","2","1","1",0.000967293943769325,0.000873013342685226,0.00105892272168127
"8","1","True","2","3","1",9.67784749653812e-06,7.43628956758597e-06,1.18042413616553e-05
"9","1","False","3","1","1",5.75716661680731e-05,4.95968635215533e-05,6.58580490634036e-05
"10","1","False","3","3","1",6.85697221160816e-07,5.13688466369493e-07,8.56700463121948e-07
"11","1","True","3","1","1",5.76582274829418e-05,4.9376869848958e-05,6.62027764758005e-05
"12","1","True","3","3","1",1.18089993178863e-06,8.73273547385688e-07,1.48371292205023e-06
"13","1","False","4","1","1",0.000153145848939027,0.000135166037722153,0.000171784895835516
"14","1","False","4","3","1",9.11971362559623e-06,6.58226613450481e-06,1.14834211281334e-05
"15","1","True","4","1","1",0.000161123660875903,0.000141677036612676,0.000180687357986462
"16","1","True","4","3","1",8.42716158145917e-06,6.02628424473622e-06,1.07090801393642e-05
"17","1","False","9","1","1",9.65990724596078e-05,8.47603834413621e-05,0.000108818371734928
"18","1","False","9","3","1",1.21387319885579e-06,9.33247499149769e-07,1.48373597989818e-06
"19","1","True","9","1","1",9.98094323311488e-05,8.7250810888681e-05,0.000112504527952538
"20","1","True","9","3","1",3.42145202928535e-07,2.60165466154168e-07,4.21623185901752e-07
"21","1","False","1","1","2",0.00212735303630316,0.00193211793446688,0.00232799693492542
"22","1","False","1","3","2",1.52912338365827e-05,1.0542952055808e-05,1.97164800040982e-05
"23","1","True","1","1","2",0.00199784094181865,0.00180486227129921,0.00219406578336747
"24","1","True","1","3","2",1.94122015810238e-05,1.30686747420227e-05,2.53434941307998e-05
"25","1","False","2","1","2",0.00124056661413398,0.00113011350674948,0.00134606697702041
"26","1","False","2","3","2",1.6615804784503e-05,1.26699486287451e-05,2.03449038571514e-05
"27","1","True","2","1","2",0.000965740939778968,0.000877917192191537,0.00105301757878948
"28","1","True","2","3","2",1.21877507950498e-05,9.14437570824085e-06,1.50213459311366e-05
"29","1","False","3","1","2",7.89358362250317e-05,6.71187858925823e-05,9.0775633504489e-05
"30","1","False","3","3","2",5.02204606705177e-06,3.61592304478444e-06,6.34225880498789e-06
"31","1","True","3","1","2",6.24051650230468e-05,5.27704780895393e-05,7.22218586999e-05
"32","1","True","3","3","2",1.88445899140554e-06,1.34776886942221e-06,2.40599235843415e-06
"33","1","False","4","1","2",0.000128078608551561,0.000112457102400457,0.000143716830292451
"34","1","False","4","3","2",1.76420585568405e-05,1.22200019712005e-05,2.25756511712559e-05
"35","1","True","4","1","2",0.000130494292420996,0.000113906075840262,0.000146825227262483
"36","1","True","4","3","2",2.03875484733624e-05,1.38925397300535e-05,2.62800088530221e-05
"37","1","False","9","1","2",8.74859832788505e-05,7.69584810370903e-05,9.8595617686573e-05
"38","1","False","9","3","2",1.05440997985778e-06,7.95131941496556e-07,1.30656027553137e-06
"39","1","True","9","1","2",7.3998226371519e-05,6.48631516399323e-05,8.33301284276026e-05
"40","1","True","9","3","2",9.30762986053913e-07,6.95505763618915e-07,1.16332079443696e-06
"41","1","False","1","1","3",0.00325348459904552,0.00297531658469946,0.00352419844768714
"42","1","False","1","3","3",4.04475534594406e-05,2.8085510322468e-05,5.20396418855807e-05
"43","1","True","1","1","3",0.00267531105283674,0.00242080560510127,0.00292375692324142
"44","1","True","1","3","3",4.41437997835673e-05,2.98800923777082e-05,5.73910988498323e-05
"45","1","False","2","1","3",0.00134999529345989,0.00123848722906561,0.00145579121514739
"46","1","False","2","3","3",3.16378073579165e-05,2.4179230481386e-05,3.85473521817667e-05
"47","1","True","2","1","3",0.000968572644512509,0.00088200798635593,0.00105038003477578
"48","1","True","2","3","3",2.75018022026164e-05,2.08358055253458e-05,3.37759557457278e-05
"49","1","False","3","1","3",4.60968106879373e-05,3.95398535449457e-05,5.29501696325734e-05
"50","1","False","3","3","3",5.74882492074933e-06,4.1756441842649e-06,7.22964578954147e-06
