"","age_recoded","race_recoded","male","education_recoded","mrp_subgroup_estimate","mrp_subgroup_estimate_se"
"1","1","1","False","1",0.530772879843887,0.0652249397872535
"2","1","1","False","3",0.527560507996949,0.153466640986232
"3","1","1","True","1",0.530772879843887,0.0652249397872535
"4","1","1","True","3",0.527560507996949,0.153466640986232
"5","1","2","False","1",0.0851510830224752,0.036492849704624
"6","1","2","False","3",0.100076396600963,0.0864477904575257
"7","1","2","True","1",0.0851510830224752,0.036492849704624
"8","1","2","True","3",0.100076396600963,0.0864477904575257
"9","1","3","False","1",0.2140986559551,0.0939224748203389
"10","1","3","False","3",0.224467858399683,0.148120288754303
"11","1","3","True","1",0.2140986559551,0.0939224748203389
"12","1","3","True","3",0.224467858399683,0.148120288754303
"13","1","4","False","1",0.439422635478778,0.0825066514580979
"14","1","4","False","3",0.447169049592949,0.16219044298636
"15","1","4","True","1",0.439422635478778,0.0825066514580979
"16","1","4","True","3",0.447169049592949,0.16219044298636
"17","1","9","False","1",0.323472623699372,0.098789366511411
"18","1","9","False","3",0.330781082046141,0.16091802290588
"19","1","9","True","1",0.323472623699372,0.098789366511411
"20","1","9","True","3",0.330781082046141,0.16091802290588
"21","2","1","False","1",0.684399470905161,0.0483010100614413
"22","2","1","False","3",0.670993533780026,0.132081511082123
"23","2","1","True","1",0.684399470905161,0.0483010100614413
"24","2","1","True","3",0.670993533780026,0.132081511082123
"25","2","2","False","1",0.149190364446552,0.0551629097703518
"26","2","2","False","3",0.166516530359145,0.117915313181359
"27","2","2","True","1",0.149190364446552,0.0551629097703518
"28","2","2","True","3",0.166516530359145,0.117915313181359
"29","2","3","False","1",0.333973590980541,0.120507992139865
"30","2","3","False","3",0.337659399948075,0.177359810776567
"31","2","3","True","1",0.333973590980541,0.120507992139865
"32","2","3","True","3",0.337659399948075,0.177359810776567
"33","2","4","False","1",0.597906476464517,0.0761710458525497
"34","2","4","False","3",0.589423621628785,0.153572423746145
"35","2","4","True","1",0.597906476464517,0.0761710458525497
"36","2","4","True","3",0.589423621628785,0.153572423746145
"37","2","9","False","1",0.471259349724172,0.106336064934774
"38","2","9","False","3",0.471235106505631,0.170916051634938
"39","2","9","True","1",0.471259349724172,0.106336064934774
"40","2","9","True","3",0.471235106505631,0.170916051634938
"41","3","1","False","1",0.678369560417581,0.0448986883299795
"42","3","1","False","3",0.662108771225382,0.13352880064233
"43","3","1","True","1",0.678369560417581,0.0448986883299795
"44","3","1","True","3",0.662108771225382,0.13352880064233
"45","3","2","False","1",0.144954429369541,0.0522040313171137
"46","3","2","False","3",0.161233254175788,0.114508399803472
"47","3","2","True","1",0.144954429369541,0.0522040313171137
"48","3","2","True","3",0.161233254175788,0.114508399803472
"49","3","3","False","1",0.329303156015648,0.119894064411737
"50","3","3","False","3",0.330254644854738,0.175858450562674
"51","3","3","True","1",0.329303156015648,0.119894064411737
"52","3","3","True","3",0.330254644854738,0.175858450562674
"53","3","4","False","1",0.590113097340043,0.075106804002611
"54","3","4","False","3",0.577330292028841,0.155004826825247
"55","3","4","True","1",0.590113097340043,0.075106804002611
"56","3","4","True","3",0.577330292028841,0.155004826825247
"57","3","9","False","1",0.464412269138231,0.106230276834409
"58","3","9","False","3",0.460412225236992,0.170756884703832
"59","3","9","True","1",0.464412269138231,0.106230276834409
"60","3","9","True","3",0.460412225236992,0.170756884703832
