STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
1,1,1,False,1,327170.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,1,False,3,1916.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,1,True,1,330345.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,1,True,3,2014.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,2,False,1,171855.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,2,False,3,1259.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,2,True,1,158247.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,2,True,3,1646.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,3,False,1,8211.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,3,False,3,132.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,3,True,1,8538.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,3,True,3,156.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,4,False,1,24213.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,4,False,3,1141.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,4,True,1,28333.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,4,True,3,1409.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,9,False,1,14535.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,9,False,3,145.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,9,True,1,15344.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,1,9,True,3,11.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,1,False,1,401522.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,1,False,3,3121.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,1,True,1,393844.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,1,True,3,3820.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,2,False,1,175374.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,2,False,3,2353.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,2,True,1,141553.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,2,True,3,1925.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,3,False,1,10918.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,3,False,3,638.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,3,True,1,9568.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,3,True,3,281.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,4,False,1,21378.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,4,False,3,2998.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,4,True,1,24304.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,4,True,3,3665.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,9,False,1,13235.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,9,False,3,189.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,9,True,1,11414.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,2,9,True,3,162.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,1,False,1,584005.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,1,False,3,7250.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,1,True,1,499159.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,1,True,3,8039.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,2,False,1,179885.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,2,False,3,4482.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,2,True,1,133469.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,2,True,3,4008.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,3,False,1,8162.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,3,False,3,899.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,3,True,1,5002.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,3,True,3,422.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,4,False,1,10168.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,4,False,3,1071.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,4,True,1,8696.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,4,True,3,1337.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,9,False,1,14893.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,9,False,3,158.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,9,True,1,10115.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,3,9,True,3,252.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
2,1,1,False,1,47024.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,1,False,3,330.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,1,True,1,58181.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,1,True,3,183.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,2,False,1,2633.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,2,True,1,4473.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,3,False,1,7289.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,3,False,3,23.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,3,True,1,7417.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,4,False,1,6857.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,4,True,1,8856.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,9,False,1,21315.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,9,False,3,59.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,9,True,1,22731.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,1,9,True,3,87.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,1,False,1,53843.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,1,False,3,139.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,1,True,1,62037.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,1,True,3,102.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,2,False,1,2622.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,2,False,3,265.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,2,True,1,3367.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,3,False,1,8118.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,3,False,3,283.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,3,True,1,6562.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,3,True,3,222.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,4,False,1,6127.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,4,False,3,119.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,4,True,1,6705.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,4,True,3,228.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,9,False,1,17006.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,9,False,3,26.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,9,True,1,17274.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,2,9,True,3,27.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,1,False,1,62973.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,1,False,3,393.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,1,True,1,68539.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,1,True,3,263.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,2,False,1,2196.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,2,False,3,35.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,2,True,1,2223.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,2,True,3,24.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,3,False,1,6458.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,3,False,3,201.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,3,True,1,5019.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,3,True,3,101.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,4,False,1,2931.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,4,False,3,236.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,4,True,1,2501.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,4,True,3,119.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,9,False,1,13448.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,9,False,3,420.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,9,True,1,12413.0,2,alaska,3.0,31,52,-21,553,Solid Rep
2,3,9,True,3,386.0,2,alaska,3.0,31,52,-21,553,Solid Rep
4,1,1,False,1,358383.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,1,False,3,1898.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,1,True,1,381824.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,1,True,3,2698.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,2,False,1,38610.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,2,False,3,328.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,2,True,1,47683.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,2,True,3,385.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,3,False,1,32841.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,3,False,3,366.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,3,True,1,33381.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,3,True,3,241.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,4,False,1,305464.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,4,False,3,4096.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,4,True,1,328419.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,4,True,3,5629.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,9,False,1,63779.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,9,False,3,366.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,9,True,1,65696.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,1,9,True,3,351.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,1,False,1,452978.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,1,False,3,2197.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,1,True,1,460517.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,1,True,3,2720.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,2,False,1,38454.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,2,False,3,719.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,2,True,1,42574.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,2,True,3,432.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,3,False,1,39537.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,3,False,3,1488.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,3,True,1,35394.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,3,True,3,743.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,4,False,1,266423.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,4,False,3,10313.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,4,True,1,261732.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,4,True,3,14278.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,9,False,1,54190.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,9,False,3,704.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,9,True,1,49996.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,2,9,True,3,807.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,1,False,1,837969.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,1,False,3,4994.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,1,True,1,745193.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,1,True,3,3990.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,2,False,1,30600.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,2,False,3,731.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,2,True,1,29805.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,2,True,3,548.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,3,False,1,29324.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,3,False,3,3000.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,3,True,1,19974.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,3,True,3,1326.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,4,False,1,159869.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,4,False,3,20530.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,4,True,1,136966.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,4,True,3,18324.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,9,False,1,43804.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,9,False,3,2622.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,9,True,1,34684.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
4,3,9,True,3,1465.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
5,1,1,False,1,221846.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
