State,2020_turnout,2016_turnout
Alabama,60.5,57.4
Alaska,63.8,61.3
Arizona,71.9,60.4
Arkansas,54.0,58.7
California,65.1,57.9
Colorado,67.6,69.5
Connecticut,66.6,63.9
Delaware,67.7,62.3
District of Columbia,84.0,74.3
Florida,62.1,59.5
Georgia,66.1,60.2
Hawaii,64.3,47.3
Idaho,64.9,62.1
Illinois,68.4,63.8
Indiana,61.0,58.3
Iowa,70.5,63.4
Kansas,65.7,61.3
Kentucky,68.5,57.0
Louisiana,61.9,61.6
Maine,71.3,72.7
Maryland,73.6,65.8
Massachusetts,66.3,66.7
Michigan,66.9,64.3
Minnesota,77.9,68.7
Mississippi,70.3,67.7
Missouri,66.8,64.8
Montana,73.5,65.9
Nebraska,65.2,66.8
Nevada,61.5,60.5
New Hampshire,74.0,69.0
New Jersey,78.3,61.5
New Mexico,62.6,54.8
New York,64.7,57.2
North Carolina,64.7,67.5
North Dakota,67.1,64.2
Ohio,70.1,63.6
Oklahoma,58.3,56.6
Oregon,74.1,66.3
Pennsylvania,70.2,62.6
Rhode Island,66.3,60.6
South Carolina,63.4,62.1
South Dakota,58.5,59.1
Tennessee,66.4,54.0
Texas,63.9,55.4
Utah,63.6,62.7
Vermont,68.4,62.5
Virginia,71.5,68.2
Washington,71.5,66.3
West Virginia,56.1,50.8
Wisconsin,73.6,70.5
Wyoming,65.5,64.8
,,
,,
