age_recoded,male,education_recoded,race_recoded,STATEFIP,vote_choice_recoded,PERWT,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
3,False,3,1.0,12,0,20675.0,12,florida,30.0,42,39,3,"11,094",Competitive
3,False,3,1.0,6,1,31533.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,True,3,1.0,39,1,12927.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
1,False,3,1.0,21,0,1767.0,21,kentucky,8.0,41,45,-4,"2,508",Competitive
2,False,3,1.0,19,1,1032.0,19,iowa,6.0,42,42,0,"2,126",Competitive
2,False,1,1.0,37,1,845486.0,37,north carolina,16.0,44,39,5,"5,774",Competitive
2,False,3,1.0,6,0,11143.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,True,1,1.0,32,0,279535.0,32,nevada,6.0,42,39,3,"1,540",Competitive
3,True,1,1.0,40,1,405370.0,40,oklahoma,7.0,35,49,-14,"2,459",Solid Rep
1,True,3,3.0,15,0,515.0,15,hawaii,4.0,50,28,22,739,Solid Dem
2,False,3,1.0,39,0,6100.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,True,3,1.0,17,1,10377.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
3,False,3,1.0,26,1,14541.0,26,michigan,15.0,45,38,7,"5,541",Lean Dem
3,False,3,1.0,6,0,31533.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,False,3,1.0,48,1,15494.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,False,3,1.0,1,1,3121.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
3,True,3,1.0,25,1,10980.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
2,False,3,3.0,4,1,1488.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
3,False,3,1.0,21,0,8725.0,21,kentucky,8.0,41,45,-4,"2,508",Competitive
3,False,3,1.0,6,1,31533.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,True,3,1.0,26,0,12027.0,26,michigan,15.0,45,38,7,"5,541",Lean Dem
3,False,3,1.0,32,1,2236.0,32,nevada,6.0,42,39,3,"1,540",Competitive
3,True,3,4.0,12,1,39924.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,True,3,1.0,53,1,3792.0,53,washington,12.0,49,34,15,"4,686",Solid Dem
1,False,3,3.0,39,0,284.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
1,True,3,1.0,24,0,1439.0,24,maryland,10.0,56,28,28,"3,193",Solid Dem
3,True,3,9.0,13,1,526.0,13,georgia,16.0,42,40,2,"5,458",Competitive
3,True,3,1.0,32,0,1660.0,32,nevada,6.0,42,39,3,"1,540",Competitive
3,True,3,4.0,6,0,197678.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,False,3,1.0,48,1,15494.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,False,3,3.0,53,1,3256.0,53,washington,12.0,49,34,15,"4,686",Solid Dem
3,False,1,1.0,47,0,878369.0,47,tennessee,11.0,35,47,-12,"4,117",Solid Rep
3,False,3,2.0,6,0,6422.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,False,3,1.0,18,0,7295.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
3,False,3,1.0,8,1,2489.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
2,False,1,1.0,25,0,624127.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
3,False,3,1.0,55,0,4834.0,55,wisconsin,10.0,43,41,2,"3,353",Competitive
2,False,3,1.0,54,1,1258.0,54,west virginia,4.0,40,44,-4,"1,011",Competitive
3,True,3,1.0,6,1,22499.0,6,california,54.0,51,30,21,"18,168",Solid Dem
2,False,1,1.0,5,1,266148.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
2,False,3,3.0,4,1,1488.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
3,True,3,1.0,4,1,3990.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
3,False,3,1.0,6,0,31533.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,False,3,1.0,24,1,4368.0,24,maryland,10.0,56,28,28,"3,193",Solid Dem
2,False,3,2.0,26,0,1924.0,26,michigan,15.0,45,38,7,"5,541",Lean Dem
2,False,3,1.0,48,0,8305.0,48,texas,40.0,38,41,-3,"14,138",Competitive
3,False,3,1.0,12,1,20675.0,12,florida,30.0,42,39,3,"11,094",Competitive
3,True,3,1.0,16,1,1093.0,16,idaho,4.0,31,53,-22,"1,254",Solid Rep
3,False,1,1.0,34,1,971592.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
2,False,3,1.0,29,0,3176.0,29,missouri,10.0,38,45,-7,"3,602",Lean Rep
2,False,1,1.0,39,0,1143344.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,3,1.0,12,1,20675.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,False,1,1.0,39,0,1143344.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,True,3,1.0,40,1,3521.0,40,oklahoma,7.0,35,49,-14,"2,459",Solid Rep
3,False,3,1.0,33,1,1409.0,33,new hampshire,4.0,43,40,3,831,Competitive
3,False,3,1.0,29,1,6243.0,29,missouri,10.0,38,45,-7,"3,602",Lean Rep
3,False,1,1.0,36,1,2027722.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,False,1,1.0,27,1,785410.0,27,minnesota,10.0,47,37,10,"3,428",Solid Dem
3,True,1,1.0,1,0,499159.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
3,False,3,1.0,34,0,12939.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
3,False,3,1.0,39,1,13885.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,True,3,1.0,12,0,18714.0,12,florida,30.0,42,39,3,"11,094",Competitive
3,False,3,1.0,51,0,7858.0,51,virginia,13.0,45,38,7,"4,893",Lean Dem
3,False,1,1.0,55,1,856053.0,55,wisconsin,10.0,43,41,2,"3,353",Competitive
3,False,3,1.0,12,0,20675.0,12,florida,30.0,42,39,3,"11,094",Competitive
1,False,3,1.0,39,0,4509.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,3,1.0,6,0,31533.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,True,1,1.0,36,1,1744425.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
1,False,3,3.0,6,0,7421.0,6,california,54.0,51,30,21,"18,168",Solid Dem
2,False,3,1.0,51,0,3733.0,51,virginia,13.0,45,38,7,"4,893",Lean Dem
2,False,3,1.0,25,1,3322.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
2,False,3,3.0,39,1,2379.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,3,1.0,41,0,2769.0,41,oregon,8.0,49,36,13,"3,187",Solid Dem
3,False,1,1.0,17,0,1434119.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
2,True,3,1.0,18,1,4633.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
2,True,3,1.0,36,1,11863.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,True,3,1.0,45,1,6259.0,45,south carolina,9.0,37,47,-10,"2,821",Solid Rep
1,False,3,1.0,47,1,2009.0,47,tennessee,11.0,35,47,-12,"4,117",Solid Rep
3,False,3,1.0,31,1,1471.0,31,nebraska,5.0,35,50,-15,"1,437",Solid Rep
3,False,3,1.0,25,0,14085.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
3,False,3,3.0,6,0,93163.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,False,1,1.0,18,1,900370.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
3,False,3,1.0,27,1,3123.0,27,minnesota,10.0,47,37,10,"3,428",Solid Dem
2,False,1,1.0,29,0,592930.0,29,missouri,10.0,38,45,-7,"3,602",Lean Rep
3,False,3,2.0,1,0,4482.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
2,False,1,1.0,25,0,624127.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
3,False,3,1.0,34,1,12939.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
