"depvar","income","agehed","rooms","region","ic","oc","idx.household","idx.heating"
FALSE,7,25,6,"ncostl", 859.90,553.340,  1,ec
FALSE,7,25,6,"ncostl", 995.76,505.600,  1,er
TRUE,7,25,6,"ncostl", 866.00,199.690,  1,gc
FALSE,7,25,6,"ncostl", 962.64,151.720,  1,gr
FALSE,7,25,6,"ncostl",1135.50,237.880,  1,hp
FALSE,5,60,5,"scostl", 796.82,520.240,  2,ec
FALSE,5,60,5,"scostl", 894.69,486.490,  2,er
TRUE,5,60,5,"scostl", 727.93,168.660,  2,gc
FALSE,5,60,5,"scostl", 758.89,168.660,  2,gr
FALSE,5,60,5,"scostl", 968.90,199.190,  2,hp
FALSE,4,65,2,"ncostl", 719.86,439.060,  3,ec
FALSE,4,65,2,"ncostl", 900.11,404.740,  3,er
TRUE,4,65,2,"ncostl", 599.48,165.580,  3,gc
FALSE,4,65,2,"ncostl", 783.05,137.800,  3,gr
FALSE,4,65,2,"ncostl",1048.30,171.470,  3,hp
FALSE,2,50,4,"scostl", 761.25,483.000,  4,ec
TRUE,2,50,4,"scostl", 831.04,425.220,  4,er
FALSE,2,50,4,"scostl", 835.17,180.880,  4,gc
FALSE,2,50,4,"scostl", 793.06,147.140,  4,gr
FALSE,2,50,4,"scostl",1048.70,222.950,  4,hp
FALSE,2,25,6,"valley", 858.86,404.410,  5,ec
TRUE,2,25,6,"valley", 985.64,389.520,  5,er
FALSE,2,25,6,"valley", 755.59,174.910,  5,gc
FALSE,2,25,6,"valley", 846.29,138.900,  5,gr
FALSE,2,25,6,"valley", 883.05,178.490,  5,hp
FALSE,6,65,7,"scostl", 693.74,398.220,  6,ec
FALSE,6,65,7,"scostl", 862.56,371.040,  6,er
TRUE,6,65,7,"scostl", 666.11,135.670,  6,gc
FALSE,6,65,7,"scostl", 841.71,140.970,  6,gr
FALSE,6,65,7,"scostl", 859.18,209.270,  6,hp
FALSE,4,35,2,"scostl", 633.63,478.360,  7,ec
FALSE,4,35,2,"scostl", 952.30,445.970,  7,er
TRUE,4,35,2,"scostl", 670.10,191.840,  7,gc
FALSE,4,35,2,"scostl", 941.25,147.570,  7,gr
FALSE,4,35,2,"scostl",1086.80,236.990,  7,hp
FALSE,6,20,7,"valley", 813.33,502.400,  8,ec
FALSE,6,20,7,"valley",1012.30,464.770,  8,er
TRUE,6,20,7,"valley", 778.03,187.610,  8,gc
FALSE,6,20,7,"valley",1022.10,158.660,  8,gr
FALSE,6,20,7,"valley", 990.21,203.780,  8,hp
FALSE,5,60,6,"scostl", 875.70,552.980,  9,ec
FALSE,5,60,6,"scostl",1024.80,451.760,  9,er
TRUE,5,60,6,"scostl", 928.34,168.700,  9,gc
FALSE,5,60,6,"scostl",1212.40,189.810,  9,gr
FALSE,5,60,6,"scostl",1232.50,269.880,  9,hp
FALSE,7,20,2,"scostl", 775.86,532.220, 10,ec
FALSE,7,20,2,"scostl", 874.49,472.390, 10,er
TRUE,7,20,2,"scostl", 682.88,176.140, 10,gc
FALSE,7,20,2,"scostl",1044.80,136.430, 10,gr
FALSE,7,20,2,"scostl", 878.09,217.340, 10,hp
FALSE,5,60,6,"mountn", 792.29,428.100, 11,ec
FALSE,5,60,6,"mountn", 774.69,380.780, 11,er
TRUE,5,60,6,"mountn", 858.26,159.920, 11,gc
FALSE,5,60,6,"mountn", 815.69,134.550, 11,gr
FALSE,5,60,6,"mountn",1076.00,230.160, 11,hp
FALSE,7,25,4,"mountn", 944.35,568.330, 12,ec
FALSE,7,25,4,"mountn",1325.00,475.720, 12,er
TRUE,7,25,4,"mountn",1021.70,214.800, 12,gc
FALSE,7,25,4,"mountn",1007.10,190.790, 12,gr
FALSE,7,25,4,"mountn",1249.60,246.000, 12,hp
FALSE,5,35,3,"ncostl", 797.34,406.710, 13,ec
FALSE,5,35,3,"ncostl", 880.80,338.030, 13,er
TRUE,5,35,3,"ncostl", 651.83,127.400, 13,gc
FALSE,5,35,3,"ncostl", 823.59,147.480, 13,gr
FALSE,5,35,3,"ncostl", 792.92,197.940, 13,hp
FALSE,2,30,6,"valley", 687.18,365.920, 14,ec
FALSE,2,30,6,"valley", 718.72,395.140, 14,er
FALSE,2,30,6,"valley", 568.44,119.450, 14,gc
TRUE,2,30,6,"valley", 617.43,111.860, 14,gr
FALSE,2,30,6,"valley", 775.54,173.530, 14,hp
FALSE,3,35,2,"valley", 594.00,424.710, 15,ec
FALSE,3,35,2,"valley", 736.77,322.950, 15,er
TRUE,3,35,2,"valley", 602.51,139.540, 15,gc
FALSE,3,35,2,"valley", 815.95,122.440, 15,gr
FALSE,3,35,2,"valley", 934.23,180.510, 15,hp
FALSE,4,35,4,"scostl", 801.20,443.160, 16,ec
FALSE,4,35,4,"scostl",1092.40,380.190, 16,er
FALSE,4,35,4,"scostl", 768.08,198.390, 16,gc
TRUE,4,35,4,"scostl",1114.10,160.990, 16,gr
FALSE,4,35,4,"scostl",1108.40,229.370, 16,hp
FALSE,6,55,2,"scostl", 821.79,432.580, 17,ec
FALSE,6,55,2,"scostl", 969.64,446.380, 17,er
FALSE,6,55,2,"scostl", 723.92,160.400, 17,gc
FALSE,6,55,2,"scostl", 929.70,147.080, 17,gr
TRUE,6,55,2,"scostl",1058.00,209.570, 17,hp
FALSE,7,35,4,"scostl", 696.89,362.990, 18,ec
FALSE,7,35,4,"scostl", 853.82,448.430, 18,er
FALSE,7,35,4,"scostl", 630.81,147.920, 18,gc
FALSE,7,35,4,"scostl", 727.37,103.690, 18,gr
TRUE,7,35,4,"scostl", 779.94,165.220, 18,hp
FALSE,6,65,2,"ncostl", 572.30,341.160, 19,ec
TRUE,6,65,2,"ncostl", 664.22,290.740, 19,er
FALSE,6,65,2,"ncostl", 555.44,106.530, 19,gc
FALSE,6,65,2,"ncostl", 775.24,106.520, 19,gr
FALSE,6,65,2,"ncostl", 707.79,139.890, 19,hp
